tag,B,left,right,delta_Rw_pp,delta_Rn_pp,delta_busy,delta_clean,delta_starts,delta_cost,delta_D95,equal_busy_and_clean,within_right_busy_clean_caps
cfA_frontloaded_0_seed20260511_off1020,1,ROLLING_CURRENT_QUEUE_NONDELAY,ATC_START,1.4669926650366705,0.42735042735042583,2.0,0.0,1.0,96.2113821718267,0.0,False,False
cfA_frontloaded_0_seed20260511_off1020,1,A_Q25_FIFO,S0,0.8312958435207851,6.8376068376068355,36.0,5.0,26.0,611.2558926284009,1.0,False,False
cfA_frontloaded_0_seed20260511_off1020,1,ATC_START,S0,5.965770171149154,11.111111111111116,32.0,5.0,37.0,967.349346943568,1.0,False,False
cfA_frontloaded_0_seed20260511_off1020,1,ROLLING_CURRENT_QUEUE_NONDELAY,S0,7.432762836185825,11.538461538461542,34.0,5.0,38.0,1063.5607291153947,1.0,False,False
cfA_frontloaded_1_seed20260512_off1080,1,ROLLING_CURRENT_QUEUE_NONDELAY,ATC_START,3.479125248508941,2.2421524663677195,-1.0,0.0,7.0,163.01395835901712,-1.0,False,True
cfA_frontloaded_1_seed20260512_off1080,1,A_Q25_FIFO,S0,0.8946322067594492,6.278026905829592,38.0,18.0,34.0,1192.869625059041,1.0,False,False
cfA_frontloaded_1_seed20260512_off1080,1,ATC_START,S0,0.3976143141153132,5.829596412556048,38.0,18.0,31.0,1034.7102902293564,1.0,False,False
cfA_frontloaded_1_seed20260512_off1080,1,ROLLING_CURRENT_QUEUE_NONDELAY,S0,3.876739562624254,8.071748878923767,37.0,18.0,38.0,1197.7242485883735,0.0,False,False
cfB_backloaded_0_seed20260521_off1140,1,ROLLING_CURRENT_QUEUE_NONDELAY,ATC_START,4.189944134078216,2.5380710659898553,0.0,0.0,5.0,251.80475117359492,0.0,True,True
cfB_backloaded_0_seed20260521_off1140,1,A_Q25_FIFO,S0,-0.07980845969673966,1.522842639593902,17.0,6.0,10.0,350.03795986221485,2.0,False,False
cfB_backloaded_0_seed20260521_off1140,1,ATC_START,S0,-1.2370311252992816,0.50761421319796,15.0,6.0,7.0,167.8061229909672,2.0,False,False
cfB_backloaded_0_seed20260521_off1140,1,ROLLING_CURRENT_QUEUE_NONDELAY,S0,2.9529130087789346,3.0456852791878153,15.0,6.0,12.0,419.6108741645621,2.0,False,False
cfB_backloaded_1_seed20260522_off1200,1,ROLLING_CURRENT_QUEUE_NONDELAY,ATC_START,3.4967845659163888,3.141361256544506,1.0,0.0,6.0,80.73950027977116,0.0,False,False
cfB_backloaded_1_seed20260522_off1200,1,A_Q25_FIFO,S0,-3.2556270096463003,-0.5235602094240899,15.0,5.0,4.0,-0.646867482538255,3.0,False,False
cfB_backloaded_1_seed20260522_off1200,1,ATC_START,S0,-2.0096463022508004,-1.0471204188481686,14.0,5.0,3.0,-51.00770472088607,3.0,False,False
cfB_backloaded_1_seed20260522_off1200,1,ROLLING_CURRENT_QUEUE_NONDELAY,S0,1.4871382636655883,2.0942408376963373,15.0,5.0,9.0,29.731795558885096,3.0,False,False
cfC_interleaved_0_seed20260611_off1260,1,ROLLING_CURRENT_QUEUE_NONDELAY,ATC_START,-1.1345218800648427,-0.5988023952095856,-3.0,0.0,-2.0,-210.4866056034316,0.0,False,True
cfC_interleaved_0_seed20260611_off1260,1,A_Q25_FIFO,S0,4.754186925985926,5.988023952095811,12.0,2.0,13.0,653.7664865970464,1.0,False,False
cfC_interleaved_0_seed20260611_off1260,1,ATC_START,S0,3.673689897352761,4.790419161676651,11.0,2.0,11.0,487.2446095629275,1.0,False,False
cfC_interleaved_0_seed20260611_off1260,1,ROLLING_CURRENT_QUEUE_NONDELAY,S0,2.5391680172879183,4.191616766467066,8.0,2.0,9.0,276.7580039594959,1.0,False,False
cfC_interleaved_1_seed20260612_off1320,1,ROLLING_CURRENT_QUEUE_NONDELAY,ATC_START,1.5974440894568676,1.7045454545454475,0.0,0.0,3.0,113.35343689145611,0.0,True,True
cfC_interleaved_1_seed20260612_off1320,1,A_Q25_FIFO,S0,7.9872204472843045,15.340909090909093,36.0,5.0,34.0,1092.9114255511213,0.15000000000000568,False,False
cfC_interleaved_1_seed20260612_off1320,1,ATC_START,S0,7.6144834930777066,14.204545454545459,33.0,5.0,32.0,975.4740928674819,0.15000000000000568,False,False
cfC_interleaved_1_seed20260612_off1320,1,ROLLING_CURRENT_QUEUE_NONDELAY,S0,9.211927582534575,15.909090909090907,33.0,5.0,35.0,1088.827529758938,0.15000000000000568,False,False
cfD_tailheavy_0_seed20260621_off1380,1,ROLLING_CURRENT_QUEUE_NONDELAY,ATC_START,6.570841889117041,4.678362573099415,-1.0,0.0,8.0,305.8978855577716,0.0,False,True
cfD_tailheavy_0_seed20260621_off1380,1,A_Q25_FIFO,S0,-3.6276522929500343,-1.1695906432748537,13.0,2.0,1.0,-9.037380519925136,3.0,False,False
cfD_tailheavy_0_seed20260621_off1380,1,ATC_START,S0,-3.6276522929500343,-1.1695906432748537,13.0,2.0,1.0,-9.037380519925136,3.0,False,False
cfD_tailheavy_0_seed20260621_off1380,1,ROLLING_CURRENT_QUEUE_NONDELAY,S0,2.9431895961670063,3.508771929824561,12.0,2.0,9.0,296.86050503784645,3.0,False,False
cfD_tailheavy_1_seed20260622_off1440,1,ROLLING_CURRENT_QUEUE_NONDELAY,ATC_START,5.2126200274348555,4.166666666666674,2.0,0.0,8.0,269.4238034443324,0.0,False,False
cfD_tailheavy_1_seed20260622_off1440,1,A_Q25_FIFO,S0,-4.389574759945136,-2.3809523809523836,12.0,3.0,5.0,-88.29104300193922,0.0,False,False
cfD_tailheavy_1_seed20260622_off1440,1,ATC_START,S0,-4.389574759945136,-2.3809523809523836,11.0,3.0,4.0,-38.34170477967109,0.0,False,False
cfD_tailheavy_1_seed20260622_off1440,1,ROLLING_CURRENT_QUEUE_NONDELAY,S0,0.8230452674897193,1.7857142857142905,13.0,3.0,12.0,231.08209866466132,0.0,False,False
cfA_frontloaded_0_seed20260511_off1020,2,ROLLING_CURRENT_QUEUE_NONDELAY,ATC_START,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,True
cfA_frontloaded_0_seed20260511_off1020,2,A_Q25_FIFO,S0,0.29339853300733854,-0.8547008547008517,1.0,1.0,-1.0,-65.56313356806095,0.0,False,False
cfA_frontloaded_0_seed20260511_off1020,2,ATC_START,S0,0.29339853300733854,-0.8547008547008517,1.0,1.0,-1.0,-65.56313356806095,0.0,False,False
cfA_frontloaded_0_seed20260511_off1020,2,ROLLING_CURRENT_QUEUE_NONDELAY,S0,0.29339853300733854,-0.8547008547008517,1.0,1.0,-1.0,-65.56313356806095,1.0,False,False
