B,parameter,factor,replays,mean_delta_Rw_pp,min_delta_Rw_pp,max_delta_Rw_pp,mean_delta_Rn_pp,mean_delta_busy,mean_delta_starts,min_selected_jaccard,mean_selected_jaccard,changed_served_sets
1,admission_score_threshold,0.8,8,0.0,0.0,0.0,0.0,0.5,0.5,0.992,0.9963349432517142,4
1,admission_score_threshold,1.2,8,-0.06032055209581472,-0.29339853300733854,0.0,-0.24668739492037933,-0.5,-0.5,0.9863945578231292,0.9965079590587765,3
1,age_bonus,0.8,8,0.0,0.0,0.0,0.0,0.0,0.0,0.9846153846153847,0.9980769230769231,1
1,age_bonus,1.2,8,0.10266940451745532,0.0,0.8213552361396426,0.07309941520467905,0.75,0.625,0.9851851851851852,0.9936090528422757,5
1,busy_penalty,0.8,8,0.498376523281914,-0.9646302250803873,2.591687041564794,1.9404966971396596,6.5,5.625,0.8562874251497006,0.9273908174581638,8
1,busy_penalty,1.2,8,-2.389700563311481,-6.601466992665028,-0.2411575562700996,-4.799497029825065,-12.0,-11.0,0.6821192052980133,0.8926952426419682,8
1,clean_penalty,0.8,8,0.03697557928711431,0.0,0.14910536779324524,0.10947261507799622,0.75,0.75,0.992,0.9946457540625251,6
1,clean_penalty,1.2,8,-0.06887633580560243,-0.29339853300733854,0.0,-0.319786810125057,-0.625,-0.625,0.9863945578231292,0.9956151019159194,4
1,v_weight,0.8,8,-2.8725572023320933,-8.557457212713937,0.7529089664613409,-5.6500551196538105,-14.875,-13.0,0.6556291390728477,0.8740864009115935,8
1,v_weight,1.2,8,0.553533535520069,-0.6430868167202508,2.591687041564794,2.0693934999674175,6.0,5.5,0.8641975308641975,0.929317570718899,8
2,admission_score_threshold,0.8,8,0.07353835940371034,0.0,0.31948881789135575,0.2615510428543938,0.625,0.625,0.9884393063583815,0.996783124303972,3
2,admission_score_threshold,1.2,8,-0.03667481662591732,-0.29339853300733854,0.0,-0.10683760683760646,-0.25,-0.25,0.9912280701754386,0.9989035087719298,1
2,busy_penalty,0.8,8,0.12945287232617592,0.0,0.5964214711729587,0.42971247783197136,1.125,1.125,0.9773755656108597,0.9945560074677708,4
2,busy_penalty,1.2,8,-0.06358561314189215,-0.4400977995109967,0.0,-0.23466117216117133,-1.125,-1.125,0.9780701754385965,0.994795916632667,3
2,clean_penalty,0.8,8,0.092176530377866,0.0,0.31948881789135575,0.3176048545135868,0.75,0.75,0.9863013698630136,0.9962175845276744,3
2,clean_penalty,1.2,8,-0.03667481662591732,-0.29339853300733854,0.0,-0.10683760683760646,-0.25,-0.25,0.9912280701754386,0.9989035087719298,1
2,v_weight,0.8,8,-0.10913458063202541,-0.5867970660146771,0.0,-0.41853854914393057,-2.125,-2.125,0.9692982456140351,0.989630791287003,5
2,v_weight,1.2,8,0.1850666225874431,0.0,0.8946322067594381,0.5952389045691606,1.875,1.875,0.968609865470852,0.9908520431292256,6
