left,right,left_size,right_size,shared_source_endpoints,overlap_fraction_of_each_540,jaccard,different_assigned_scenario_at_shared_source
cfA_frontloaded_0_seed20260511_off1020,cfA_frontloaded_1_seed20260512_off1080,540,540,480,0.8888888888888888,0.8,330
cfA_frontloaded_0_seed20260511_off1020,cfB_backloaded_0_seed20260521_off1140,540,540,420,0.7777777777777778,0.6363636363636364,315
cfA_frontloaded_0_seed20260511_off1020,cfB_backloaded_1_seed20260522_off1200,540,540,360,0.6666666666666666,0.5,270
cfA_frontloaded_0_seed20260511_off1020,cfC_interleaved_0_seed20260611_off1260,540,540,300,0.5555555555555556,0.38461538461538464,180
cfA_frontloaded_0_seed20260511_off1020,cfC_interleaved_1_seed20260612_off1320,540,540,240,0.4444444444444444,0.2857142857142857,135
cfA_frontloaded_0_seed20260511_off1020,cfD_tailheavy_0_seed20260621_off1380,540,540,180,0.3333333333333333,0.2,60
cfA_frontloaded_0_seed20260511_off1020,cfD_tailheavy_1_seed20260622_off1440,540,540,120,0.2222222222222222,0.125,0
cfA_frontloaded_1_seed20260512_off1080,cfB_backloaded_0_seed20260521_off1140,540,540,480,0.8888888888888888,0.8,360
cfA_frontloaded_1_seed20260512_off1080,cfB_backloaded_1_seed20260522_off1200,540,540,420,0.7777777777777778,0.6363636363636364,315
cfA_frontloaded_1_seed20260512_off1080,cfC_interleaved_0_seed20260611_off1260,540,540,360,0.6666666666666666,0.5,240
cfA_frontloaded_1_seed20260512_off1080,cfC_interleaved_1_seed20260612_off1320,540,540,300,0.5555555555555556,0.38461538461538464,180
cfA_frontloaded_1_seed20260512_off1080,cfD_tailheavy_0_seed20260621_off1380,540,540,240,0.4444444444444444,0.2857142857142857,120
cfA_frontloaded_1_seed20260512_off1080,cfD_tailheavy_1_seed20260622_off1440,540,540,180,0.3333333333333333,0.2,60
cfB_backloaded_0_seed20260521_off1140,cfB_backloaded_1_seed20260522_off1200,540,540,480,0.8888888888888888,0.8,300
cfB_backloaded_0_seed20260521_off1140,cfC_interleaved_0_seed20260611_off1260,540,540,420,0.7777777777777778,0.6363636363636364,270
cfB_backloaded_0_seed20260521_off1140,cfC_interleaved_1_seed20260612_off1320,540,540,360,0.6666666666666666,0.5,255
cfB_backloaded_0_seed20260521_off1140,cfD_tailheavy_0_seed20260621_off1380,540,540,300,0.5555555555555556,0.38461538461538464,225
cfB_backloaded_0_seed20260521_off1140,cfD_tailheavy_1_seed20260622_off1440,540,540,240,0.4444444444444444,0.2857142857142857,135
cfB_backloaded_1_seed20260522_off1200,cfC_interleaved_0_seed20260611_off1260,540,540,480,0.8888888888888888,0.8,285
cfB_backloaded_1_seed20260522_off1200,cfC_interleaved_1_seed20260612_off1320,540,540,420,0.7777777777777778,0.6363636363636364,270
cfB_backloaded_1_seed20260522_off1200,cfD_tailheavy_0_seed20260621_off1380,540,540,360,0.6666666666666666,0.5,240
cfB_backloaded_1_seed20260522_off1200,cfD_tailheavy_1_seed20260622_off1440,540,540,300,0.5555555555555556,0.38461538461538464,225
cfC_interleaved_0_seed20260611_off1260,cfC_interleaved_1_seed20260612_off1320,540,540,480,0.8888888888888888,0.8,360
cfC_interleaved_0_seed20260611_off1260,cfD_tailheavy_0_seed20260621_off1380,540,540,420,0.7777777777777778,0.6363636363636364,315
cfC_interleaved_0_seed20260611_off1260,cfD_tailheavy_1_seed20260622_off1440,540,540,360,0.6666666666666666,0.5,165
cfC_interleaved_1_seed20260612_off1320,cfD_tailheavy_0_seed20260621_off1380,540,540,480,0.8888888888888888,0.8,255
cfC_interleaved_1_seed20260612_off1320,cfD_tailheavy_1_seed20260622_off1440,540,540,420,0.7777777777777778,0.6363636363636364,315
cfD_tailheavy_0_seed20260621_off1380,cfD_tailheavy_1_seed20260622_off1440,540,540,480,0.8888888888888888,0.8,255
