B,family,point,validation_marks,R_weighted_nonfail,R_count,R_count_nonfail,clean_starts,clean_ratio,starts,attack_starts,busy_steps,utilization,failures,attack_failures,clean_failures,cost_per_step,D95,expired,horizon,final_active_Tminus1,unfinished_T,idle_with_waiting,competition_steps,no_eligible_with_free_waiting,expiry_with_free_slot
1,A,ALL_ACCEPT,,0.7340605586577705,0.8223168805045457,0.7961434901565316,46.625,0.9930357142857142,203.0,156.375,261.875,0.4849537037037037,11.625,5.0,6.625,12.881788565789043,10.0,34.625,0.25,0.25,0.0,0.0,172.375,0.0,25.125
1,A,Q10,,0.7327690375611207,0.8180461058086299,0.7918727154606158,28.375,0.5919612503763547,183.875,155.5,242.875,0.4497685185185185,10.875,5.0,5.875,11.632554793593153,10.0,34.5,0.0,0.125,0.0,0.0,163.125,0.0,25.0
1,A,Q25,matched_start;matched_coverage,0.7242673747457335,0.7838455706702043,0.7594771337456974,9.5,0.18889706577753568,158.125,148.625,217.0,0.40185185185185185,8.125,4.625,3.5,10.201962084133385,10.0,34.5,0.0,0.0,0.0,0.0,159.625,0.0,25.0
1,A,Q50,,0.6333483659816638,0.528528486328318,0.5201963596473094,1.625,0.027976435943318362,101.25,99.625,160.5,0.2972222222222222,1.625,1.625,0.0,6.167473655940656,10.0,30.875,0.0,0.0,0.0,0.0,138.875,0.0,22.375
1,A,Q60,,0.6052108436652059,0.4700914484295253,0.46945693066302785,0.875,0.015078779196148974,89.75,88.875,148.375,0.27476851851851847,0.125,0.125,0.0,5.292159352324843,10.0,27.375,0.0,0.0,0.0,0.0,125.75,0.0,20.5
1,A,Q70,,0.5515712333986416,0.3969204533154455,0.3969204533154455,0.5,0.009363201825960392,75.5,75.0,126.375,0.23402777777777778,0.0,0.0,0.0,4.23660971982328,10.0,21.75,0.0,0.0,0.0,0.0,103.875,0.0,17.25
1,A,Q80,,0.48427891600383344,0.31942194602755297,0.31942194602755297,0.0,0.0,59.75,59.75,95.875,0.1775462962962963,0.0,0.0,0.0,3.166909830217463,9.06875,15.875,0.0,0.0,0.0,0.0,77.375,0.0,13.375
1,A,Q90,,0.42453982129260337,0.26994927104461963,0.26994927104461963,0.0,0.0,49.375,49.375,73.125,0.13541666666666669,0.0,0.0,0.0,2.565007778915155,6.375,3.5,0.0,0.0,0.0,0.0,57.75,0.0,3.5
1,A,NONE_ACCEPT,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,B,ALL_ACCEPT,,0.7331784554042969,0.7963286451786447,0.7790960321086197,46.0,0.9788893728222996,197.875,151.875,251.375,0.46550925925925923,9.875,3.375,6.5,12.441645001358678,6.112499999999997,39.875,0.125,0.25,0.0,0.0,159.0,0.0,26.125
1,B,Q10,,0.7320733160173887,0.7926184085993209,0.7753857955292958,30.25,0.6263394558882601,181.375,151.125,234.875,0.4349537037037037,9.25,3.375,5.875,11.40570469747378,6.087499999999999,39.0,0.0,0.125,0.0,0.0,151.875,0.0,25.375
1,B,Q25,matched_start,0.7220924979624644,0.7509897198782922,0.736306107850822,8.0,0.15545241149483272,150.875,142.875,204.25,0.37824074074074077,5.75,2.875,2.875,9.6408707074652,6.587499999999999,39.0,0.0,0.0,0.0,0.0,148.125,0.0,25.375
1,B,Q50,,0.657028218924855,0.5459692801654188,0.5402526714652568,1.625,0.028575279911285292,104.5,102.875,157.0,0.29074074074074074,1.125,1.125,0.0,6.426814728770925,7.324999999999999,29.5,0.0,0.0,0.0,0.0,129.5,0.0,19.5
1,B,Q60,,0.6172975094342069,0.477023743427506,0.4754211793249419,1.25,0.022260858573129774,91.5,90.25,142.25,0.2634259259259259,0.375,0.375,0.0,5.485433135703959,7.2499999999999964,25.125,0.0,0.0,0.0,0.0,118.125,0.0,17.125
1,B,Q70,,0.5769221775754365,0.4234726754826076,0.4234726754826076,0.5,0.009363201825960392,80.5,80.0,124.375,0.23032407407407407,0.0,0.0,0.0,4.800255941836798,7.199999999999999,18.0,0.0,0.0,0.0,0.0,96.0,0.0,12.5
1,B,Q80,,0.5025836250287872,0.34885523072201896,0.34885523072201896,0.375,0.007780923344947735,65.375,65.0,100.625,0.18634259259259262,0.0,0.0,0.0,3.8251839389223616,5.95625,14.75,0.0,0.0,0.0,0.0,73.75,0.0,10.625
1,B,Q90,,0.4251698446010803,0.27264464737787636,0.27264464737787636,0.0,0.0,49.625,49.625,73.625,0.1363425925925926,0.0,0.0,0.0,2.6311086521937193,5.649999999999999,10.75,0.0,0.0,0.0,0.0,62.0,0.0,8.0
1,B,NONE_ACCEPT,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,D,FIXED,,0.7171632864593922,0.7470846806527032,0.7268816967243529,3.875,0.08314446042270505,145.25,141.375,200.625,0.3715277777777778,5.0,3.75,1.25,9.480364567882809,9.875,90.375,2.25,0.0,0.0,109.375,266.875,109.375,81.125
1,S,FIXED,,0.7203740336190932,0.7321881663533039,0.7196105010052176,3.75,0.07911220235818893,142.25,138.5,194.625,0.36041666666666666,3.5,2.375,1.125,9.32166900573213,8.60625,93.375,2.25,0.0,0.0,111.125,260.125,111.125,81.625
2,A,ALL_ACCEPT,,0.9841618412438551,1.0,0.9718894683620058,47.0,1.0,237.875,190.875,320.5,0.2967592592592592,12.0,5.375,6.625,14.93337020664308,0.625,0.0,0.0,0.25,0.0,0.0,22.5,0.0,0.0
2,A,Q10,,0.9828703201472053,0.9957292253040841,0.96761869366609,28.375,0.5919612503763547,218.375,190.0,301.0,0.2787037037037037,11.25,5.375,5.875,13.684388960953374,0.625,0.0,0.0,0.125,0.0,0.0,22.125,0.0,0.0
2,A,Q25,matched_start;matched_coverage,0.9743686573318182,0.9615286901656587,0.9352231119511717,9.5,0.18889706577753568,192.625,183.125,275.125,0.25474537037037037,8.5,5.0,3.5,12.253796251493604,0.875,0.0,0.0,0.0,0.0,0.0,22.125,0.0,0.0
2,A,Q50,,0.8670566302576672,0.6878746795424463,0.6795425528614376,1.625,0.027976435943318362,132.125,130.5,213.25,0.19745370370370371,1.625,1.625,0.0,8.000473233314331,1.2562499999999979,0.0,0.0,0.0,0.0,0.0,20.125,0.0,0.0
2,A,Q60,,0.8206291790524067,0.6124439240878026,0.6118094063213051,0.875,0.015078779196148974,117.125,116.25,196.125,0.18159722222222224,0.125,0.125,0.0,6.923254189281241,1.375,0.0,0.0,0.0,0.0,0.0,18.25,0.0,0.0
2,A,Q70,,0.7354419708304945,0.5138877127208544,0.5138877127208544,0.5,0.009363201825960392,97.25,96.75,164.0,0.15185185185185185,0.0,0.0,0.0,5.507758588641815,1.125,0.0,0.0,0.0,0.0,0.0,12.875,0.0,0.0
2,A,Q80,,0.6211444409438053,0.4078855828208011,0.4078855828208011,0.0,0.0,75.625,75.625,121.75,0.11273148148148149,0.0,0.0,0.0,4.050493623301902,0.5999999999999996,0.0,0.0,0.0,0.0,0.0,4.75,0.0,0.0
2,A,Q90,,0.4534042231378721,0.2902400572317456,0.2902400572317456,0.0,0.0,52.875,52.875,78.625,0.07280092592592592,0.0,0.0,0.0,2.765645601735782,0.25,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0
2,A,NONE_ACCEPT,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,B,ALL_ACCEPT,,0.9823130622794994,0.99890527384922,0.9707947422112259,47.0,1.0,237.625,190.625,320.0,0.2962962962962963,12.0,5.375,6.625,14.898097022959323,0.625,0.25,0.0,0.25,0.0,0.0,22.25,0.0,0.25
2,B,Q10,matched_coverage,0.9812079228925912,0.9951950372698961,0.967084505631902,30.25,0.6263394558882601,220.125,189.875,302.5,0.28009259259259256,11.25,5.375,5.875,13.821102912253846,0.625,0.25,0.0,0.125,0.0,0.0,21.625,0.0,0.25
2,B,Q25,matched_start,0.9712271048376668,0.9535663485488675,0.9280048179534282,8.0,0.15545241149483272,189.625,181.625,271.875,0.2517361111111111,7.75,4.875,2.875,12.056268922245263,0.75,0.25,0.0,0.0,0.0,0.0,21.625,0.0,0.25
2,B,Q50,,0.8713167380605769,0.6988898125894558,0.6905814717504899,1.625,0.028575279911285292,133.75,132.125,214.0,0.19814814814814813,1.625,1.625,0.0,8.079991825928058,0.90625,0.25,0.0,0.0,0.0,0.0,18.625,0.0,0.25
2,B,Q60,,0.8114123145086234,0.6078902339626112,0.606287669860047,1.25,0.022260858573129774,116.375,115.125,193.0,0.1787037037037037,0.375,0.375,0.0,6.865379866511153,0.9749999999999996,0.25,0.0,0.0,0.0,0.0,16.125,0.0,0.25
2,B,Q70,,0.7287563249955815,0.5210760511283967,0.5210760511283967,0.5,0.009363201825960392,98.5,98.0,159.875,0.14803240740740742,0.0,0.0,0.0,5.702881678002862,0.39374999999999893,0.0,0.0,0.0,0.0,0.0,7.125,0.0,0.0
