tag,B,family,point,delta_R_weighted_nonfail,delta_R_count,delta_R_count_nonfail,delta_clean_starts,delta_clean_ratio,delta_starts,delta_attack_starts,delta_busy_steps,delta_utilization,delta_failures,delta_attack_failures,delta_clean_failures,delta_cost_per_step,delta_D95,delta_expired,delta_horizon,delta_final_active_Tminus1,delta_unfinished_T,delta_idle_with_waiting,delta_competition_steps,delta_no_eligible_with_free_waiting,delta_expiry_with_free_slot
cfA_frontloaded_0_seed20260511_off1020,1,D,FIXED,0.03911980440097795,0.03418803418803418,0.02991452991452992,0,0.0,8,8,4,0.007407407407407418,1,1,0,0.32982270962907556,1.0,-8,0,0,0,-3,0,-3,0
cfA_frontloaded_0_seed20260511_off1020,2,D,FIXED,0.007334963325183463,0.004273504273504258,0.004273504273504258,0,0.0,1,1,3,0.002777777777777768,0,0,0,0.10676228624865125,1.0,-1,0,0,0,-2,-1,-3,0
cfA_frontloaded_1_seed20260512_off1080,1,D,FIXED,-0.012922465208747513,0.004484304932735328,0.0,0,0.0,1,1,-1,-0.0018518518518518823,1,1,0,0.410407172208787,0.0,-1,0,0,0,6,16,6,-2
cfA_frontloaded_1_seed20260512_off1080,2,D,FIXED,0.00745526838966204,0.004484304932735328,0.004484304932735439,0,0.0,1,1,1,0.0009259259259259411,0,0,0,0.1754231832214117,0.0,-1,0,0,0,0,-3,0,0
cfB_backloaded_0_seed20260521_off1140,1,D,FIXED,-0.015562649640861959,0.0,0.0,0,0.0,0,0,8,0.014814814814814836,0,0,0,-0.20240732544772655,2.0,0,0,0,0,0,9,0,-2
cfB_backloaded_0_seed20260521_off1140,2,D,FIXED,0.0,0.0,0.0,0,0.0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
cfB_backloaded_1_seed20260522_off1200,1,D,FIXED,-0.020900321543408373,0.005235602094240899,0.0,0,0.0,1,1,10,0.018518518518518545,1,1,0,0.32041290765513075,3.0,-1,0,0,0,-6,10,-6,4
cfB_backloaded_1_seed20260522_off1200,2,D,FIXED,0.0,0.0,0.0,0,0.0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
cfC_interleaved_0_seed20260611_off1260,1,D,FIXED,0.022690437601296187,0.03592814371257491,0.029940119760479056,1,0.03225806451612903,7,6,6,0.011111111111111127,2,1,1,0.5127843415756494,1.0,-7,0,0,0,-2,5,-2,-4
cfC_interleaved_0_seed20260611_off1260,2,D,FIXED,0.0,0.0,0.0,0,0.0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,2,0,0
cfC_interleaved_1_seed20260612_off1320,1,D,FIXED,0.046858359957401396,0.051136363636363646,0.03977272727272729,0,0.0,9,9,6,0.011111111111111072,2,2,0,0.3707159547283876,0.15000000000000568,-9,0,0,0,-4,4,-4,-8
cfC_interleaved_1_seed20260612_off1320,2,D,FIXED,0.0,0.0,0.0,0,0.0,0,0,0,0.0,0,0,0,0.0,1.0,0,0,0,0,0,0,0,0
cfD_tailheavy_0_seed20260621_off1380,1,D,FIXED,-0.038329911019849394,-0.005847953216374213,-0.011695906432748537,0,0.0,-1,-1,9,0.016666666666666663,1,1,0,-0.03657585722942791,3.0,1,0,0,0,-5,4,-5,2
cfD_tailheavy_0_seed20260621_off1380,2,D,FIXED,0.0,0.0,0.0,0,0.0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
cfD_tailheavy_1_seed20260622_off1440,1,D,FIXED,-0.04663923182441709,-0.005952380952380931,-0.029761904761904767,0,0.0,-1,-1,6,0.011111111111111127,4,4,0,-0.4355954059144267,0.0,1,0,0,0,0,6,0,6
cfD_tailheavy_1_seed20260622_off1440,2,D,FIXED,0.0,0.0,0.0,0,0.0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
