tag,B,family,point,delta_R_weighted_nonfail,delta_R_count,delta_R_count_nonfail,delta_clean_starts,delta_clean_ratio,delta_starts,delta_attack_starts,delta_busy_steps,delta_utilization,delta_failures,delta_attack_failures,delta_clean_failures,delta_cost_per_step,delta_D95,delta_expired,delta_horizon,delta_final_active_Tminus1,delta_unfinished_T,delta_idle_with_waiting,delta_competition_steps,delta_no_eligible_with_free_waiting,delta_expiry_with_free_slot
cfA_frontloaded_0_seed20260511_off1020,1,A,ALL_ACCEPT,0.028850855745721216,0.15384615384615385,0.1282051282051282,38,0.926829268292683,74,36,84,0.1555555555555555,8,6,2,4.310367919818621,1.0,-74,0,0,0,-116,-137,-116,-77
cfA_frontloaded_0_seed20260511_off1020,1,A,NONE_ACCEPT,-0.6244498777506112,-0.6153846153846154,-0.6025641025641025,-3,-0.07317073170731707,-147,-144,-214,-0.3962962962962963,-5,-3,-2,-8.765663091043217,,-128,0,0,0,-116,-311,-116,-106
cfA_frontloaded_0_seed20260511_off1020,1,A,Q10,0.027383863080684634,0.14957264957264949,0.12393162393162394,20,0.48780487804878053,55,35,65,0.1203703703703704,8,6,2,2.6085150799149286,1.0,-74,0,0,0,-116,-144,-116,-77
cfA_frontloaded_0_seed20260511_off1020,1,A,Q25,0.008312958435207851,0.08974358974358976,0.06837606837606836,5,0.12195121951219513,26,21,36,0.06666666666666665,7,5,2,1.1319553567192617,1.0,-74,0,0,0,-116,-147,-116,-77
cfA_frontloaded_0_seed20260511_off1020,1,A,Q50,-0.08215158924205379,-0.17521367521367526,-0.1752136752136752,-2,-0.048780487804878044,-43,-41,-32,-0.05925925925925929,-2,0,-2,-2.6653377130483964,1.0,-81,0,0,0,-116,-147,-116,-82
cfA_frontloaded_0_seed20260511_off1020,1,A,Q60,-0.07481662591687033,-0.20085470085470086,-0.18803418803418798,-3,-0.07317073170731707,-50,-47,-40,-0.07407407407407407,-5,-3,-2,-2.7079934272021955,1.0,-93,0,0,0,-116,-149,-116,-85
cfA_frontloaded_0_seed20260511_off1020,1,A,Q70,-0.15696821515892423,-0.27350427350427353,-0.26068376068376065,-3,-0.07317073170731707,-67,-64,-72,-0.13333333333333336,-5,-3,-2,-4.248396368224825,1.0,-111,0,0,0,-116,-203,-116,-94
cfA_frontloaded_0_seed20260511_off1020,1,A,Q80,-0.29926650366748164,-0.4017094017094017,-0.38888888888888884,-3,-0.07317073170731707,-97,-94,-128,-0.23703703703703705,-5,-3,-2,-6.066907307392686,0.5499999999999972,-124,0,0,0,-116,-255,-116,-103
cfA_frontloaded_0_seed20260511_off1020,1,A,Q90,-0.4337408312958435,-0.5,-0.4871794871794871,-3,-0.07317073170731707,-120,-117,-173,-0.3203703703703704,-5,-3,-2,-7.260153830167324,-7.0,-128,0,0,0,-116,-300,-116,-106
cfA_frontloaded_0_seed20260511_off1020,1,B,ALL_ACCEPT,0.06552567237163809,0.17521367521367515,0.1495726495726496,36,0.8780487804878049,77,41,77,0.14259259259259255,8,6,2,4.453197030387212,-2.0,-77,0,0,0,-116,-142,-116,-76
cfA_frontloaded_0_seed20260511_off1020,1,B,NONE_ACCEPT,-0.6244498777506112,-0.6153846153846154,-0.6025641025641025,-3,-0.07317073170731707,-147,-144,-214,-0.3962962962962963,-5,-3,-2,-8.765663091043217,,-128,0,0,0,-116,-311,-116,-106
cfA_frontloaded_0_seed20260511_off1020,1,B,Q10,0.0640586797066015,0.1709401709401709,0.14529914529914534,22,0.5365853658536586,62,40,62,0.11481481481481476,8,6,2,3.0598569725056937,-2.4000000000000057,-79,0,0,0,-116,-149,-116,-78
cfA_frontloaded_0_seed20260511_off1020,1,B,Q25,0.044987775061124724,0.11111111111111105,0.08974358974358976,3,0.07317073170731707,29,26,29,0.0537037037037037,5,5,0,1.390534887155491,-2.0,-79,0,0,0,-116,-150,-116,-78
cfA_frontloaded_0_seed20260511_off1020,1,B,Q50,-0.03422982885085568,-0.14102564102564108,-0.14102564102564097,-2,-0.048780487804878044,-35,-33,-35,-0.06481481481481483,-2,0,-2,-2.3197025022216673,0.0,-92,0,0,0,-116,-156,-116,-84
cfA_frontloaded_0_seed20260511_off1020,1,B,Q60,-0.05623471882640585,-0.17521367521367526,-0.1752136752136752,-2,-0.048780487804878044,-43,-41,-45,-0.08333333333333337,-2,0,-2,-2.6641459591710692,0.0,-100,0,0,0,-116,-169,-116,-88
cfA_frontloaded_0_seed20260511_off1020,1,B,Q70,-0.12029339853300736,-0.24786324786324787,-0.23504273504273498,-3,-0.07317073170731707,-61,-58,-71,-0.13148148148148148,-5,-3,-2,-3.567144865214436,-0.5,-119,0,0,0,-116,-214,-116,-99
cfA_frontloaded_0_seed20260511_off1020,1,B,Q80,-0.26601466992665035,-0.36752136752136755,-0.35470085470085466,-3,-0.07317073170731707,-89,-86,-119,-0.22037037037037038,-5,-3,-2,-5.50102802733384,-5.850000000000001,-126,0,0,0,-116,-268,-116,-104
cfA_frontloaded_0_seed20260511_off1020,1,B,Q90,-0.46063569682151584,-0.5170940170940171,-0.5042735042735043,-3,-0.07317073170731707,-124,-121,-182,-0.337037037037037,-5,-3,-2,-7.573997615162915,-7.100000000000001,-128,0,0,0,-116,-305,-116,-106
cfA_frontloaded_0_seed20260511_off1020,1,D,FIXED,0.03911980440097795,0.03418803418803418,0.02991452991452992,0,0.0,8,8,4,0.007407407407407418,1,1,0,0.32982270962907556,1.0,-8,0,0,0,-3,0,-3,0
cfA_frontloaded_0_seed20260511_off1020,2,A,ALL_ACCEPT,0.02347188264058675,0.05555555555555558,0.05128205128205132,34,0.8292682926829268,47,13,49,0.04537037037037034,2,1,1,3.0569993527881376,0.0,-47,0,0,0,-154,-104,-87,-46
cfA_frontloaded_0_seed20260511_off1020,2,A,NONE_ACCEPT,-0.9525672371638142,-0.9444444444444444,-0.905982905982906,-7,-0.17073170731707318,-228,-221,-336,-0.3111111111111111,-12,-9,-3,-13.678834849523382,,-47,0,0,0,-154,-158,-87,-46
cfA_frontloaded_0_seed20260511_off1020,2,A,Q10,0.022004889975550168,0.05128205128205132,0.04700854700854695,16,0.3902439024390244,28,12,30,0.02777777777777779,2,1,1,1.3551465128844438,0.0,-47,0,0,0,-154,-105,-87,-46
cfA_frontloaded_0_seed20260511_off1020,2,A,Q25,0.0029339853300733854,-0.008547008547008517,-0.008547008547008517,1,0.02439024390243902,-1,-2,1,0.0009259259259259411,1,0,1,-0.1214132103112231,0.0,-47,0,0,0,-154,-105,-87,-46
cfA_frontloaded_0_seed20260511_off1020,2,A,Q50,-0.11931540342298286,-0.30341880341880334,-0.2777777777777778,-6,-0.14634146341463417,-77,-71,-75,-0.06944444444444445,-9,-6,-3,-4.340804200972595,1.0,-47,0,0,0,-154,-106,-87,-46
cfA_frontloaded_0_seed20260511_off1020,2,A,Q60,-0.18044009779951098,-0.3803418803418803,-0.3418803418803419,-7,-0.17073170731707318,-96,-89,-95,-0.08796296296296297,-12,-9,-3,-5.476925236184551,1.0,-47,0,0,0,-154,-109,-87,-46
cfA_frontloaded_0_seed20260511_off1020,2,A,Q70,-0.3603911980440099,-0.5299145299145298,-0.49145299145299143,-7,-0.17073170731707318,-131,-124,-155,-0.14351851851851852,-12,-9,-3,-7.936096619871725,0.0,-47,0,0,0,-154,-123,-87,-46
cfA_frontloaded_0_seed20260511_off1020,2,A,Q80,-0.5980440097799511,-0.7136752136752136,-0.6752136752136753,-7,-0.17073170731707318,-174,-167,-244,-0.22592592592592592,-12,-9,-3,-10.654424477272892,-2.0,-47,0,0,0,-154,-156,-87,-46
cfA_frontloaded_0_seed20260511_off1020,2,A,Q90,-0.7618581907090465,-0.829059829059829,-0.7905982905982906,-7,-0.17073170731707318,-201,-194,-295,-0.27314814814814814,-12,-9,-3,-12.173325588647488,-2.0,-47,0,0,0,-154,-158,-87,-46
cfA_frontloaded_0_seed20260511_off1020,2,B,ALL_ACCEPT,0.016136919315403397,0.05128205128205132,0.04700854700854695,34,0.8292682926829268,46,12,46,0.04259259259259257,2,1,1,2.950237066539488,0.0,-46,0,0,0,-154,-105,-87,-45
cfA_frontloaded_0_seed20260511_off1020,2,B,NONE_ACCEPT,-0.9525672371638142,-0.9444444444444444,-0.905982905982906,-7,-0.17073170731707318,-228,-221,-336,-0.3111111111111111,-12,-9,-3,-13.678834849523382,,-47,0,0,0,-154,-158,-87,-46
cfA_frontloaded_0_seed20260511_off1020,2,B,Q10,0.014669926650366816,0.047008547008547064,0.042735042735042694,18,0.4390243902439024,29,11,29,0.02685185185185185,2,1,1,1.5074313072060352,0.0,-46,0,0,0,-154,-107,-87,-45
cfA_frontloaded_0_seed20260511_off1020,2,B,Q25,-0.004400977995109967,-0.012820512820512775,-0.012820512820512775,-1,-0.024390243902439046,-4,-3,-4,-0.003703703703703709,-1,0,-1,-0.1618907781441692,0.0,-46,0,0,0,-154,-107,-87,-45
cfA_frontloaded_0_seed20260511_off1020,2,B,Q50,-0.15207823960880207,-0.3205128205128205,-0.2991452991452992,-6,-0.14634146341463417,-81,-75,-82,-0.07592592592592592,-8,-5,-3,-4.968751375450978,0.0,-46,0,0,0,-154,-115,-87,-45
cfA_frontloaded_0_seed20260511_off1020,2,B,Q60,-0.2132029339853302,-0.38888888888888884,-0.3632478632478633,-6,-0.14634146341463417,-97,-91,-102,-0.09444444444444444,-9,-6,-3,-5.786658250407085,0.0,-46,0,0,0,-154,-120,-87,-45
cfA_frontloaded_0_seed20260511_off1020,2,B,Q70,-0.3848410757946211,-0.5384615384615384,-0.5,-7,-0.17073170731707318,-133,-126,-169,-0.1564814814814815,-12,-9,-3,-8.040602293276557,-1.0,-47,0,0,0,-154,-148,-87,-46
cfA_frontloaded_0_seed20260511_off1020,2,B,Q80,-0.5794621026894866,-0.688034188034188,-0.6495726495726496,-7,-0.17073170731707318,-168,-161,-236,-0.21851851851851853,-12,-9,-3,-10.174149970612557,-2.0,-47,0,0,0,-154,-158,-87,-46
cfA_frontloaded_0_seed20260511_off1020,2,B,Q90,-0.7887530562347188,-0.8461538461538461,-0.8076923076923077,-7,-0.17073170731707318,-205,-198,-304,-0.2814814814814815,-12,-9,-3,-12.487169373643079,-2.0,-47,0,0,0,-154,-158,-87,-46
cfA_frontloaded_0_seed20260511_off1020,2,D,FIXED,0.007334963325183463,0.004273504273504258,0.004273504273504258,0,0.0,1,1,3,0.002777777777777768,0,0,0,0.10676228624865125,1.0,-1,0,0,0,-2,-1,-3,0
cfA_frontloaded_1_seed20260512_off1080,1,A,ALL_ACCEPT,0.034294234592445294,0.15246636771300448,0.13901345291479816,73,0.9240506329113924,107,34,111,0.20555555555555555,16,3,13,5.97243225100798,1.0,-107,0,0,0,-158,-164,-158,-107
cfA_frontloaded_1_seed20260512_off1080,1,A,NONE_ACCEPT,-0.6535785288270378,-0.6322869955156951,-0.6278026905829597,-6,-0.0759493670886076,-147,-141,-214,-0.3962962962962963,-3,-1,-2,-10.308852665553427,,-155,0,0,0,-158,-330,-158,-137
cfA_frontloaded_1_seed20260512_off1080,1,A,Q10,0.02982107355864816,0.13901345291479816,0.12556053811659185,43,0.5443037974683544,74,31,78,0.14444444444444443,15,3,12,4.300749323366073,1.0,-107,0,0,0,-158,-170,-158,-107
cfA_frontloaded_1_seed20260512_off1080,1,A,Q25,0.008946322067594492,0.0717488789237668,0.06278026905829592,18,0.22784810126582278,34,16,38,0.07037037037037036,9,2,7,2.209017824183409,1.0,-107,0,0,0,-158,-170,-158,-107
cfA_frontloaded_1_seed20260512_off1080,1,A,Q50,-0.07256461232604372,-0.17937219730941711,-0.17937219730941706,0,0.0,-40,-40,-36,-0.06666666666666671,-2,0,-2,-3.1575954708738463,1.0,-114,0,0,0,-158,-172,-158,-112
cfA_frontloaded_1_seed20260512_off1080,1,A,Q60,-0.09642147117296229,-0.20627802690582964,-0.2017937219730942,-3,-0.0379746835443038,-49,-46,-41,-0.07592592592592595,-3,-1,-2,-4.07803943186408,1.0,-119,0,0,0,-158,-179,-158,-115
cfA_frontloaded_1_seed20260512_off1080,1,A,Q70,-0.1341948310139165,-0.24215246636771304,-0.2376681614349776,-5,-0.06329113924050633,-59,-54,-58,-0.10740740740740745,-3,-1,-2,-4.432084040929922,1.0,-141,0,0,0,-158,-202,-158,-130
cfA_frontloaded_1_seed20260512_off1080,1,A,Q80,-0.28330019880715707,-0.367713004484305,-0.36322869955156956,-6,-0.0759493670886076,-88,-82,-117,-0.21666666666666667,-3,-1,-2,-6.003304733771643,-6.0,-155,0,0,0,-158,-299,-158,-137
cfA_frontloaded_1_seed20260512_off1080,1,A,Q90,-0.5318091451292247,-0.5515695067264574,-0.547085201793722,-6,-0.0759493670886076,-129,-123,-191,-0.35370370370370374,-3,-1,-2,-8.945147503889226,-7.0,-155,0,0,0,-158,-325,-158,-137
cfA_frontloaded_1_seed20260512_off1080,1,B,ALL_ACCEPT,0.031809145129224725,0.13452914798206272,0.13452914798206272,73,0.9240506329113924,103,30,106,0.19629629629629625,13,0,13,5.472940469188151,-4.0,-103,0,0,0,-158,-178,-158,-106
cfA_frontloaded_1_seed20260512_off1080,1,B,NONE_ACCEPT,-0.6535785288270378,-0.6322869955156951,-0.6278026905829597,-6,-0.0759493670886076,-147,-141,-214,-0.3962962962962963,-3,-1,-2,-10.308852665553427,,-155,0,0,0,-158,-330,-158,-137
cfA_frontloaded_1_seed20260512_off1080,1,B,Q10,0.02882703777335993,0.12556053811659185,0.12556053811659185,47,0.5949367088607596,75,28,78,0.14444444444444443,12,0,12,4.00778769606743,-4.0,-103,0,0,0,-158,-178,-158,-106
cfA_frontloaded_1_seed20260512_off1080,1,B,Q25,0.00497017892644136,0.049327354260089606,0.053811659192825045,16,0.20253164556962022,27,11,30,0.055555555555555525,4,-1,5,1.4046519052030408,-2.6500000000000057,-103,0,0,0,-158,-178,-158,-106
cfA_frontloaded_1_seed20260512_off1080,1,B,Q50,-0.08896620278330025,-0.2017937219730942,-0.19730941704035876,-1,-0.012658227848101264,-46,-45,-44,-0.08148148148148149,-3,-1,-2,-3.6385654758742882,-2.0,-116,0,0,0,-158,-181,-158,-114
cfA_frontloaded_1_seed20260512_off1080,1,B,Q60,-0.10536779324055667,-0.2197309417040359,-0.21524663677130046,-2,-0.025316455696202535,-51,-49,-49,-0.09074074074074073,-3,-1,-2,-3.961586855240161,-2.0,-125,0,0,0,-158,-188,-158,-117
cfA_frontloaded_1_seed20260512_off1080,1,B,Q70,-0.15258449304174948,-0.26008968609865474,-0.2556053811659193,-5,-0.06329113924050633,-63,-58,-70,-0.12962962962962965,-3,-1,-2,-4.413841251530709,-2.0,-142,0,0,0,-158,-222,-158,-130
