B,family,point,pattern,delta_R_weighted_nonfail,delta_R_count,delta_R_count_nonfail,delta_clean_starts,delta_clean_ratio,delta_starts,delta_attack_starts,delta_busy_steps,delta_utilization,delta_failures,delta_attack_failures,delta_clean_failures,delta_cost_per_step,delta_D95,delta_expired,delta_horizon,delta_final_active_Tminus1,delta_unfinished_T,delta_idle_with_waiting,delta_competition_steps,delta_no_eligible_with_free_waiting,delta_expiry_with_free_slot
1,A,ALL_ACCEPT,cfA,0.031572545169083255,0.15315626077957922,0.13360929055996307,55.5,0.9254399506020377,90.5,35.0,97.5,0.18055555555555552,12.0,4.5,7.5,5.141400085413299,1.0,-90.5,0.0,0.0,0.0,-137.0,-150.5,-137.0,-92.0
1,A,ALL_ACCEPT,cfB,-0.011871347993112291,0.028157971669280135,0.025619900603290224,47.5,0.9068877551020409,53.0,5.5,62.5,0.1157407407407407,6.5,0.5,6.0,3.27953376084154,2.5,-48.0,-5.0,0.5,0.0,-102.0,-66.0,-102.0,-47.0
1,A,ALL_ACCEPT,cfC,0.07170590804038202,0.14672359825802928,0.13520685900925422,37.0,0.9238709677419354,62.5,25.5,63.0,0.1166666666666667,7.0,2.0,5.0,4.024696011594239,0.5750000000000028,-59.5,-3.0,0.5,0.0,-101.0,-64.0,-101.0,-54.5
1,A,ALL_ACCEPT,cfD,-0.036661005061643936,0.03247702589807855,0.011695906432748426,31.5,0.8994953742640874,37.0,5.5,46.0,0.0851851851851852,7.0,3.5,3.5,1.7948483823785786,1.5,-37.0,0.0,0.0,0.0,-104.5,-70.5,-104.5,-32.5
1,A,Q10,cfA,0.028602468319666396,0.14429305124372382,0.12474608102410789,31.5,0.5160543377585675,64.5,33.0,71.5,0.13240740740740736,11.5,4.5,7.0,3.4546322016405,1.0,-90.5,0.0,0.0,0.0,-137.0,-157.0,-137.0,-92.0
1,A,Q10,cfB,-0.012469911440837755,0.025619900603290224,0.023081829537300314,29.5,0.5586734693877551,34.5,5.0,44.0,0.08148148148148149,5.5,0.5,5.0,1.9613733937550268,2.5,-48.0,-6.0,0.0,0.0,-102.0,-80.0,-102.0,-47.0
1,A,Q10,cfC,0.07010846395092518,0.14104178007621115,0.129525040827436,22.0,0.5380645161290323,46.5,24.5,47.0,0.08703703703703708,6.5,2.0,4.5,2.9316477058198878,0.5750000000000028,-60.0,-3.0,0.5,0.0,-101.0,-76.5,-101.0,-55.0
1,A,Q10,cfD,-0.036661005061643936,0.03247702589807855,0.011695906432748426,15.5,0.4386038687973086,21.0,5.5,30.5,0.05648148148148152,6.0,3.5,2.5,0.8958898502286843,1.5,-37.0,0.0,0.0,0.0,-104.5,-74.5,-104.5,-32.5
1,A,Q25,cfA,0.008629640251401116,0.08074623433367834,0.06557816871718214,11.5,0.17489966038900895,30.0,18.5,37.0,0.06851851851851848,8.0,3.5,4.5,1.6704865904513344,1.0,-90.5,0.0,0.0,0.0,-137.0,-158.5,-137.0,-92.0
1,A,Q25,cfB,-0.016677177346715144,0.007534483216838916,0.004996412150849117,5.5,0.10586734693877552,7.0,1.5,16.0,0.029629629629629617,2.5,0.5,2.0,0.32351027072192373,2.5,-48.0,-6.0,0.0,0.0,-102.0,-84.0,-102.0,-47.0
1,A,Q25,cfC,0.06370703686635115,0.11532049537289057,0.10664466521502458,3.5,0.08225806451612902,23.5,20.0,24.0,0.04444444444444451,3.5,1.5,2.0,1.6172943631001555,0.5750000000000028,-60.0,-3.0,0.0,0.0,-101.0,-81.5,-101.0,-55.0
