tag,mode,B,variant,R_weighted_nonfail,R_count,R_count_nonfail,starts,attack_starts,clean_starts,clean_ratio,busy_steps,occupied_in_horizon,utilization,failures,attack_failures,clean_failures,recorded_cost,recorded_time,cost_per_step,D95,precision,denominator,numerator,expired,horizon,final_active_Tminus1,unfinished_T,mean_attack_severity,covariance,severity_selection_component,identity_residual,wall_seconds,delta_R_weighted_nonfail,delta_R_count_nonfail,delta_starts,delta_clean_starts,delta_busy_steps,delta_recorded_cost,delta_D95,delta_failures,delta_severity_selection_component,started_all,started_attack,started_clean,rejected_all,rejected_attack,rejected_clean,expired_all,expired_attack,expired_clean,horizon_unstarted_all,horizon_unstarted_attack,horizon_unstarted_clean
cfA_frontloaded_0_seed20260511_off1020,cfA,1,NO_FAIL_DISCOUNT,0.6376528117359413,0.6581196581196581,0.6410256410256411,157,154,3,0.07317073170731707,224,224,0.4148148148148148,6,4,2,5082.497960297157,1290.2645182609558,9.41203325980955,8.0,0.9808917197452229,102.25,65.2,118,0,0,0,0.43696581196581197,-0.0014738110891957036,-0.003372829289699703,-2.7321894746634712e-17,0.0488478719998966,0.013202933985330123,0.03846153846153855,10,0,10,349.03989113381976,-1.0,1,-0.025258604476208375,157,154,3,0,0,0,118,80,38,0,0,0
cfA_frontloaded_0_seed20260511_off1020,cfA,1,DDD_ONLY_VALUE,0.6273838630806846,0.6068376068376068,0.594017094017094,142,142,0,0.0,207,207,0.38333333333333336,3,3,0,4697.098029354743,1217.9659185409546,8.698329683990265,7.949999999999989,1.0,102.25,64.15,133,0,0,0,0.43696581196581197,0.01458013733654759,0.033366769063590575,2.0816681711721685e-17,0.05062191400065785,0.0029339853300733854,-0.008547008547008517,-5,-3,-7,-36.36003980859459,-1.0500000000000114,-2,0.011480993877081902,142,142,0,0,0,0,133,92,41,0,0,0
cfA_frontloaded_0_seed20260511_off1020,cfA,1,CONSTANT_SEVERITY,0.5770171149144254,0.7051282051282052,0.6623931623931624,172,165,7,0.17073170731707318,215,215,0.39814814814814814,13,10,3,5521.595835795444,1080.1638042926788,10.225177473695267,8.0,0.9593023255813954,102.25,59.0,103,0,0,0,0.43696581196581197,-0.037306413908978014,-0.08537604747873698,2.7755575615628914e-17,0.03670551699906355,-0.047432762836185804,0.05982905982905984,25,4,1,788.1377666321068,-1.0,8,-0.10726182266524564,172,165,7,0,0,0,103,69,34,0,0,0
cfA_frontloaded_0_seed20260511_off1020,cfA,2,NO_FAIL_DISCOUNT,0.9525672371638142,0.9444444444444444,0.905982905982906,229,221,8,0.1951219512195122,337,337,0.31203703703703706,13,9,4,7379.446056969415,1959.4738869667053,13.665640846239658,2.0,0.9650655021834061,102.25,97.4,46,0,0,0,0.43696581196581197,0.020355760099349845,0.046584331180908205,6.938893903907228e-18,0.033944134000194026,0.0,0.0,1,1,1,-7.124761773211503,0.0,1,0.0,229,221,8,0,0,0,46,13,33,0,0,0
cfA_frontloaded_0_seed20260511_off1020,cfA,2,DDD_ONLY_VALUE,0.9119804400977995,0.8504273504273504,0.8376068376068376,199,199,0,0.0,307,307,0.28425925925925927,3,3,0,6608.148841228557,1876.614447593689,12.237312668941772,1.0999999999999943,1.0,102.25,93.25,76,0,0,0,0.43696581196581197,0.0324987216012857,0.07437360249096191,1.3877787807814457e-17,0.035735961002501426,-0.040586797066014646,-0.06837606837606836,-29,-7,-29,-778.4219775140691,-0.9000000000000057,-9,0.027789271310053702,199,199,0,0,0,0,76,35,41,0,0,0
cfA_frontloaded_0_seed20260511_off1020,cfA,2,CONSTANT_SEVERITY,0.9628361858190708,0.9786324786324786,0.9358974358974359,237,229,8,0.1951219512195122,345,345,0.3194444444444444,14,10,4,7565.227455992148,1979.5575313568115,14.009680474059532,1.1999999999999886,0.9662447257383966,102.25,98.44999999999999,38,0,0,0,0.43696581196581197,0.01177131273285119,0.026938749921635,-7.979727989493313e-17,0.033246981001866516,0.010268948655256627,0.02991452991452992,9,1,9,178.65663724952174,-0.8000000000000114,2,-0.019645581259273206,237,229,8,0,0,0,38,5,33,0,0,0
cfA_frontloaded_1_seed20260512_off1080,cfA,1,NO_FAIL_DISCOUNT,0.6635188866799205,0.672645739910314,0.6681614349775785,157,150,7,0.08860759493670886,226,226,0.4185185185185185,3,1,2,5978.660706832581,1349.5427994728088,11.071593901541817,9.0,0.9554140127388535,100.6,66.75,145,0,0,0,0.4511210762331838,-0.00209435138450401,-0.004642548297657995,1.734723475976807e-17,0.038201909002964385,0.00994035785288272,0.04035874439461884,10,1,12,411.8802674337303,0.0,0,-0.03041838654173614,157,150,7,0,0,0,145,73,72,0,0,0
cfA_frontloaded_1_seed20260512_off1080,cfA,1,DDD_ONLY_VALUE,0.628727634194831,0.6367713004484304,0.6367713004484304,142,142,0,0.0,204,204,0.37777777777777777,0,0,0,5532.7359891122705,1228.569028377533,10.245807387244945,8.0,1.0,100.6,63.25,160,0,0,0,0.4511210762331838,-0.0036286673771843397,-0.008043666253599481,5.724587470723463e-17,0.03853146400069818,-0.0248508946322068,0.008968609865470767,-5,-6,-10,-34.044450286580286,-1.0,-3,-0.03381950449767763,142,142,0,0,0,0,160,81,79,0,0,0
cfA_frontloaded_1_seed20260512_off1080,cfA,1,CONSTANT_SEVERITY,0.6525844930417496,0.7085201793721974,0.695067264573991,173,158,15,0.189873417721519,237,237,0.4388888888888889,10,3,7,6744.939704002663,1308.870373725891,12.490629081486414,7.400000000000006,0.9132947976878613,100.6,65.65,129,0,0,0,0.4511210762331838,-0.019164873614993264,-0.04248277153224153,8.326672684688674e-17,0.037479022998013534,-0.0009940357852882276,0.06726457399103136,26,9,23,1178.1592646038125,-1.5999999999999943,7,-0.06825860977631967,173,158,15,0,0,0,129,65,64,0,0,0
cfA_frontloaded_1_seed20260512_off1080,cfA,2,NO_FAIL_DISCOUNT,0.9498011928429424,0.9192825112107623,0.905829596412556,220,205,15,0.189873417721519,335,335,0.3101851851851852,9,3,6,8293.124131796281,2034.7018611431122,15.357637281104225,2.0,0.9318181818181818,100.6,95.55,82,0,0,0,0.4511210762331838,0.019836513905367097,0.04397159643038631,8.326672684688674e-17,0.03637730500122416,0.005964214711729587,0.017937219730941645,4,0,4,163.42216741192897,0.0,0,-0.011973005019212078,220,205,15,0,0,0,82,18,64,0,0,0
