tag,mode,B,baseline_numerator,denominator,feasible_lower,verified_upper,verified_gap,known_feasible_improvement_pp,at_most_improvement_pp,busy_cap,clean_cap,feasible_busy,feasible_clean,lp_status,mip_status,mip_solver_reported_upper,anomalies,wall_seconds
cfA_frontloaded_0_seed20260511_off1020,cfA,1,63.85,102.25,78.9,79.12500000000006,0.22500000000005033,14.718826405867976,14.938875305623526,214,3,214,0,0,0,78.90000000000006,,6.706004157997086
cfA_frontloaded_0_seed20260511_off1020,cfA,2,97.4,102.25,99.8,99.80000000000001,0.0,2.3471882640586714,2.347188264058685,336,7,334,0,0,0,99.8,,0.2771778839996841
cfA_frontloaded_1_seed20260512_off1080,cfA,1,65.75,100.6,78.15,78.28333333333337,0.13333333333336062,12.326043737574558,12.458581842279695,214,6,214,0,0,0,78.15,,2.1163889979980013
cfA_frontloaded_1_seed20260512_off1080,cfA,2,94.95,100.6,98.4,98.42500000000001,0.02500000000000016,3.4294234592445356,3.454274353876748,331,15,331,0,0,0,98.4,,0.3339310840019607
cfB_backloaded_0_seed20260521_off1140,cfB,1,95.05,125.29999999999998,104.69999999999999,105.12500000000004,0.4250000000000491,7.701516360734232,8.040702314445369,206,3,206,0,0,0,104.7000000002659,,17.78859890899912
cfB_backloaded_0_seed20260521_off1140,cfB,2,122.8,125.29999999999998,123.24999999999999,123.24999999999999,0.0,0.3591380686352663,0.3591380686352663,265,5,256,0,0,0,123.24999999999999,,0.0911716409973451
cfB_backloaded_1_seed20260522_off1200,cfB,1,89.2,124.40000000000003,98.74999999999999,98.75,6.022959908591474e-15,7.676848874598055,7.6768488745980665,204,5,204,0,0,0,98.74999999999999,,0.3991742420002993
cfB_backloaded_1_seed20260522_off1200,cfB,2,123.4,124.40000000000003,123.84999999999998,123.85,0.0,0.36173633440512404,0.3617363344051355,285,8,276,0,0,0,123.84999999999998,,0.10788656900331262
cfC_interleaved_0_seed20260611_off1260,cfC,1,69.75000000000003,92.55000000000001,79.55,79.55000000000001,5.9119376061289586e-15,10.588870880605043,10.588870880605059,187,1,187,0,0,0,79.55000000000004,,0.5664490210001532
cfC_interleaved_0_seed20260611_off1260,cfC,2,89.5,92.55000000000001,89.64999999999999,89.65,0.0,0.16207455429496645,0.1620745542949818,241,3,231,0,0,0,89.64999999999999,,0.08568283400018117
cfC_interleaved_1_seed20260612_off1320,cfC,1,69.50000000000004,93.9,80.14999999999999,80.5666666666667,0.416666666666701,11.341853035143716,11.78558750443734,172,5,172,0,0,0,80.14999999999999,,0.5897801489991252
cfC_interleaved_1_seed20260612_off1320,cfC,2,91.05000000000001,93.9,92.69999999999999,92.71666666666667,0.016666666666673796,1.7571884984025317,1.7749378771742887,234,8,234,0,0,0,92.69999999999999,,0.11044491900247522
cfD_tailheavy_0_seed20260621_off1380,cfD,1,113.60000000000002,146.1,121.20000000000002,121.70000000000007,0.5000000000000522,5.2019164955509885,5.5441478439425405,178,4,178,0,0,0,121.20000000000039,,22.130568241998844
cfD_tailheavy_0_seed20260621_off1380,cfD,2,144.4,146.1,144.9,144.90000000000003,0.0,0.3422313483915127,0.34223134839153213,233,6,228,0,0,0,144.9,,0.08944926799813402
cfD_tailheavy_1_seed20260622_off1440,cfD,1,107.6,145.8,113.60000000000001,113.6571428571429,0.057142857142885195,4.1152263374485685,4.154418969233817,182,3,181,0,0,0,113.60000000000001,,0.21846469600131968
cfD_tailheavy_1_seed20260622_off1440,cfD,2,143.8,145.8,144.00000000000003,144.00000000000003,0.0,0.137174211248297,0.137174211248297,256,6,246,0,0,0,144.00000000000003,,0.11326829599784105
