B,first,second,delta_count_pp,delta_weighted_pp,alpha_crossing,comparison_over_alpha,delta_clean_starts,delta_full_busy_steps,delta_D95
1,S0,ELIGIBLE_FIFO,-0.7271195719135259,0.3210747159701044,0.6936877831891507,NEGATIVE_THEN_POSITIVE,-0.125,-6.0,-1.2687500000000007
1,S0,A_Q25_FIFO,-3.9866632740479746,-0.3893341126640304,,NONPOSITIVE_ALL_ALPHA,-5.75,-22.375,-1.3937500000000007
1,S0,ATC_START,-3.980702863751473,-0.7984566744062116,,NONPOSITIVE_ALL_ALPHA,-5.75,-20.875,-1.3937500000000007
1,S0,ROLLING_CURRENT_QUEUE_NONDELAY,-6.268166303170775,-3.9083605168417246,,NONPOSITIVE_ALL_ALPHA,-5.75,-20.875,-1.2687500000000007
1,ROLLING_CURRENT_QUEUE_NONDELAY,ATC_START,2.2874634394193016,3.109903842435513,,NONNEGATIVE_ALL_ALPHA,0.0,0.0,-0.125
2,S0,ELIGIBLE_FIFO,-0.10947261507798789,-0.18487789643556463,,NONPOSITIVE_ALL_ALPHA,0.0,-0.5,-0.25
2,S0,A_Q25_FIFO,0.02035992022461075,-0.1899453441979504,0.09681127232127708,POSITIVE_THEN_NEGATIVE,-2.25,-2.5,0.125
2,S0,ATC_START,0.020359920224621852,-0.1899453441979504,0.09681127232132476,POSITIVE_THEN_NEGATIVE,-2.25,-2.5,0.125
2,S0,ROLLING_CURRENT_QUEUE_NONDELAY,0.020359920224621852,-0.1899453441979504,0.09681127232132476,POSITIVE_THEN_NEGATIVE,-2.25,-2.5,0.0
2,ROLLING_CURRENT_QUEUE_NONDELAY,ATC_START,0.0,0.0,,TIE_ALL_ALPHA,0.0,0.0,0.125
