comparison,left,right,slot_budget,metric,mean_delta_left_minus_right,median_delta_left_minus_right,min_delta,max_delta,bootstrap95_ci_low,bootstrap95_ci_high,exact_sign_test_p_two_sided,sign_flip_permutation_p_two_sided,n_holdouts,left_wins,left_losses,ties
source_frozen_transfer_vs_full_native_safeguarded_retune,source_frozen_transfer,native_safeguarded_retune,1,recall,0.07614038775550427,0.07682102782497591,0.03827751196172249,0.12118780096308185,0.0558540228633843,0.09699918940399425,0.0078125,0.0078125,8,8,0,0
source_frozen_transfer_vs_full_native_safeguarded_retune,source_frozen_transfer,native_safeguarded_retune,1,unnecessary,13.5,15.5,2.0,21.0,9.0,17.503124999999955,0.0078125,0.0078125,8,0,8,0
source_frozen_transfer_vs_full_native_safeguarded_retune,source_frozen_transfer,native_safeguarded_retune,1,cost,0.35102508584963155,0.32935314951065703,0.23254629380840774,0.49850586256511636,0.2898595497758212,0.4171239545666303,0.0078125,0.0078125,8,0,8,0
source_frozen_transfer_vs_full_native_safeguarded_retune,source_frozen_transfer,native_safeguarded_retune,1,served_ratio,0.5181288413145668,0.5091769265845872,0.4136125654450262,0.6425531914893616,0.4758249764599421,0.5650397500549713,0.0078125,0.0078125,8,8,0,0
source_frozen_transfer_vs_full_native_safeguarded_retune,source_frozen_transfer,native_safeguarded_retune,1,backend_fail,95.375,87.5,73.0,137.0,82.125,111.25,0.0078125,0.0078125,8,0,8,0
source_frozen_transfer_vs_full_native_safeguarded_retune,source_frozen_transfer,native_safeguarded_retune,1,delay_p95,-1.8750000000000024,-1.9500000000000055,-5.1000000000000085,0.0,-2.912500000000003,-1.0,0.015625,0.015625,8,7,0,1
source_frozen_transfer_vs_full_native_unconstrained_retune,source_frozen_transfer,native_unconstrained_retune,1,recall,0.09165344704797701,0.0968815415821501,0.0525224602626123,0.14446227929373995,0.07129150093190599,0.11238257702516723,0.0078125,0.0078125,8,8,0,0
source_frozen_transfer_vs_full_native_unconstrained_retune,source_frozen_transfer,native_unconstrained_retune,1,unnecessary,13.5,15.5,2.0,21.0,9.0,17.503124999999955,0.0078125,0.0078125,8,0,8,0
source_frozen_transfer_vs_full_native_unconstrained_retune,source_frozen_transfer,native_unconstrained_retune,1,cost,0.3877040446318775,0.3765159295374002,0.2795578891297669,0.54834455483675,0.32673048036488417,0.4545814427333874,0.0078125,0.0078125,8,0,8,0
source_frozen_transfer_vs_full_native_unconstrained_retune,source_frozen_transfer,native_unconstrained_retune,1,served_ratio,0.562728980270444,0.5608922468069797,0.4397905759162304,0.6680851063829787,0.5179380253191758,0.6057649048812626,0.0078125,0.0078125,8,8,0,0
source_frozen_transfer_vs_full_native_unconstrained_retune,source_frozen_transfer,native_unconstrained_retune,1,backend_fail,102.125,96.0,76.0,139.0,89.625,116.75,0.0078125,0.0078125,8,0,8,0
source_frozen_transfer_vs_full_native_unconstrained_retune,source_frozen_transfer,native_unconstrained_retune,1,delay_p95,5.4499999999999975,8.0,-5.1000000000000085,10.0,1.4499999999999957,8.75,0.2890625,0.0390625,8,2,6,0
source_frozen_transfer_vs_anchored_retune,source_frozen_transfer,anchored_retune,1,recall,0.07418531057341178,0.07884665314401623,0.03827751196172249,0.11998394863563401,0.0556383181224891,0.09298116927896244,0.0078125,0.0078125,8,8,0,0
source_frozen_transfer_vs_anchored_retune,source_frozen_transfer,anchored_retune,1,unnecessary,13.375,15.5,2.0,21.0,9.0,17.375,0.0078125,0.0078125,8,0,8,0
