method,slot_budget,n_holdouts,group,is_full_native,recall_mean,recall_median,recall_min,recall_max,unnecessary_mean,unnecessary_median,unnecessary_min,unnecessary_max,cost_mean,cost_median,cost_min,cost_max,served_ratio_mean,served_ratio_median,served_ratio_min,served_ratio_max,backend_fail_mean,backend_fail_median,backend_fail_min,backend_fail_max,delay_p50_mean,delay_p50_median,delay_p50_min,delay_p50_max,delay_p95_mean,delay_p95_median,delay_p95_min,delay_p95_max,served_attack_mass_mean,served_attack_mass_median,served_attack_mass_min,served_attack_mass_max,served_clean_count_mean,served_clean_count_median,served_clean_count_min,served_clean_count_max,expired_count_mean,expired_count_median,expired_count_min,expired_count_max,average_service_time_mean,average_service_time_median,average_service_time_min,average_service_time_max,average_service_cost_mean,average_service_cost_median,average_service_cost_min,average_service_cost_max
anchored_retune,1,8,full_native_source_anchored,True,0.01746813647456523,0.017379995632537868,0.0,0.028032345013477077,0.125,0.0,0.0,1.0,0.043281343361961586,0.046026199572818144,0.016870051777471383,0.06683171794401191,0.06262167293799265,0.06345431789737171,0.03664921465968586,0.10047846889952153,10.375,10.0,5.0,16.0,1.625,0.0,0.0,9.0,9.7,10.0,9.0,10.0,6.61875,6.05,3.2,11.349999999999998,0.125,0.0,0.0,1.0,194.75,191.0,159.0,224.0,23.555721466075425,21.054864892363547,8.821021636327108,54.321159907749724,1.8134943567498536,1.7769567026255417,1.012203106648283,2.691289382668219
anchored_retune,2,8,full_native_source_anchored,True,0.05430278772042975,0.050888772394739046,0.027643400138217,0.09920000000000001,1.125,1.0,0.0,2.0,0.18548747144419947,0.18152050389351357,0.03761384456956034,0.282856287867348,0.27365338597336597,0.31006749433441716,0.13612565445026178,0.3546511627906977,48.125,55.0,22.0,66.0,0.1875,0.0,0.0,1.5,8.525,8.600000000000001,8.0,9.0,24.5,23.4,10.900000000000002,41.349999999999994,1.125,1.0,0.0,2.0,151.125,151.5,111.0,193.0,17.391958862781657,18.28381864856451,9.307170632680258,24.055736963565533,1.6772167950980443,1.757182608487016,0.7812106179831761,2.0496561920249614
incumbent_queue_aware,1,8,full_native_diagnostic_baseline,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,207.75,206.5,172.0,235.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
incumbent_queue_aware,2,8,full_native_diagnostic_baseline,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,207.75,206.5,172.0,235.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
native_safeguarded_retune,1,8,full_native_safeguarded,True,0.015513059292472731,0.01783721242993155,0.0,0.028032345013477077,0.0,0.0,0.0,0.0,0.0370814754794072,0.03665711234552915,0.012174397295094692,0.07186482482835614,0.04765841935887305,0.044671888856044936,0.02617801047120419,0.0755813953488372,7.375,8.5,3.0,11.0,1.75,0.0,0.0,9.0,9.825,10.0,9.0,10.0,5.6499999999999995,5.25,3.2,7.999999999999999,0.0,0.0,0.0,0.0,198.0,194.5,159.0,228.0,29.2306991372353,20.742656282583873,8.821021636327108,70.6426992893219,2.055969939739719,1.8167162877137546,0.9391677913358762,3.880700540731232
native_safeguarded_retune,2,8,full_native_safeguarded,True,0.0156093090988977,0.017135453139321924,0.0,0.03170144462279293,0.0,0.0,0.0,0.0,0.040386710187248,0.038638285893538675,0.011139098753942225,0.07877838936927017,0.05352507302352605,0.04728818132757691,0.02617801047120419,0.09883720930232558,8.5,9.0,3.0,14.0,1.625,0.0,0.0,9.0,9.8125,10.0,9.0,10.0,6.449999999999999,5.3999999999999995,4.0,11.649999999999999,0.0,0.0,0.0,0.0,196.875,194.0,155.0,227.0,28.708313063601835,25.245270617441697,8.417057059027933,70.6426992893219,2.0561309178483613,1.801492215787849,0.7518891658911002,3.8673027508550812
native_unconstrained_retune,1,8,full_native_unconstrained,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00040251669716124313,0.0,-0.0030173668904791597,0.005028214987740082,0.003058280402995879,0.004421237556119461,0.0,0.005813953488372093,0.625,1.0,0.0,1.0,2.5,0.0,0.0,10.0,2.5,0.0,0.0,10.0,0.5375,0.5,0.0,1.2000000000000002,0.0,0.0,0.0,0.0,207.125,206.0,171.0,234.0,4.007747024297714,4.33542788028717,0.0,9.694662094116211,0.21735901646707134,0.0,-1.6293781208587461,2.7152360933796444
native_unconstrained_retune,2,8,full_native_unconstrained,True,0.08328306241820327,0.0786731774971828,0.0442294402211472,0.13643659711075443,0.25,0.0,0.0,1.0,0.18699038463249198,0.19532059272307245,0.05939046659645421,0.2623368951492803,0.2818809434327958,0.31630641244500013,0.15706806282722513,0.38461538461538464,46.25,44.5,23.0,74.0,0.0,0.0,0.0,0.0,8.581249999999997,8.749999999999996,6.549999999999983,9.799999999999997,30.53125,26.9,19.700000000000003,47.3,0.25,0.0,0.0,1.0,149.0,144.0,116.0,190.0,23.55719376132347,23.201855056408125,12.65005023214552,31.329991467793782,1.7066429196942017,1.6111974028106504,1.0690283987361757,2.517521888951424
phase3_oracle_upgrade,1,8,full_native_gate2_screen,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00040251669716124313,0.0,-0.0030173668904791597,0.005028214987740082,0.003058280402995879,0.004421237556119461,0.0,0.005813953488372093,0.625,1.0,0.0,1.0,2.5,0.0,0.0,10.0,2.5,0.0,0.0,10.0,0.5375,0.5,0.0,1.2000000000000002,0.0,0.0,0.0,0.0,207.125,206.0,171.0,234.0,4.007747024297714,4.33542788028717,0.0,9.694662094116211,0.21735901646707134,0.0,-1.6293781208587461,2.7152360933796444
phase3_oracle_upgrade,2,8,full_native_gate2_screen,True,0.08328306241820327,0.0786731774971828,0.0442294402211472,0.13643659711075443,0.25,0.0,0.0,1.0,0.18699038463249198,0.19532059272307245,0.05939046659645421,0.2623368951492803,0.2818809434327958,0.31630641244500013,0.15706806282722513,0.38461538461538464,46.25,44.5,23.0,74.0,0.0,0.0,0.0,0.0,8.581249999999997,8.749999999999996,6.549999999999983,9.799999999999997,30.53125,26.9,19.700000000000003,47.3,0.25,0.0,0.0,1.0,149.0,144.0,116.0,190.0,23.55719376132347,23.201855056408125,12.65005023214552,31.329991467793782,1.7066429196942017,1.6111974028106504,1.0690283987361757,2.517521888951424
