variant,budget,recall,cost,backend_fail,pareto_recall_cost,pareto_recall_backend_fail
anchored_retune,1,0.017468136474565223,0.043281343361961586,10.375,True,True
incumbent_queue_aware,1,0.0,0.0,0.0,True,True
native_safeguarded_retune,1,0.015513059292472722,0.0370814754794072,7.375,True,True
native_unconstrained_retune,1,0.0,0.00040251669716124313,0.625,False,False
phase3_oracle_upgrade,1,0.0,0.00040251669716124313,0.625,False,False
phase3_proposed,1,0.0008640167192446259,0.005041987964733818,1.5,True,True
source_frozen_transfer,1,0.09165344704797697,0.38810656132903876,102.75,True,True
static_threshold,1,0.010764236235036763,0.03843056483607454,8.875,False,False
topk_expected_consequence,1,0.07229359801579621,0.35276786023631235,94.75,True,True
winner_replay,1,0.06289311908158114,0.2808203259011209,77.875,True,True
anchored_retune,2,0.05430278772042972,0.18548747144419947,48.125,True,False
incumbent_queue_aware,2,0.0,0.0,0.0,True,True
native_safeguarded_retune,2,0.015609309098897692,0.040386710187248,8.5,True,True
native_unconstrained_retune,2,0.08328306241820323,0.18699038463249198,46.25,True,True
phase3_oracle_upgrade,2,0.08328306241820323,0.18699038463249198,46.25,True,True
phase3_proposed,2,0.0008640167192446259,0.010377926819673651,3.875,True,True
source_frozen_transfer,2,0.17722833468254345,0.557481206663066,130.125,True,True
static_threshold,2,0.014926154239194609,0.04135747032833319,8.875,False,False
topk_expected_consequence,2,0.13216015222761313,0.4960025179858302,124.0,True,True
winner_replay,2,0.12639928148054203,0.45700611389471124,117.875,True,True
