method,B,n,recall,recall_median,scheduler_recall,scheduler_recall_median,backend_fail,backend_fail_median,cost,cost_median,unnecessary,unnecessary_median,served_ratio,served_ratio_median,served_attack_mass,served_attack_mass_median,backend_success_attack_mass,backend_success_attack_mass_median,clean_service,clean_service_median,recover_fail,recover_fail_median,delay_p50,delay_p50_median,delay_p95,delay_p95_median,average_service_time,average_service_time_median,average_service_cost,average_service_cost_median
TRBG-native-burden,1,8,0.092755197720986,0.0961836651352731,0.092755197720986,0.0961836651352731,100.375,96.5,0.36585316870049067,0.359259685529971,8.375,8.0,0.5551596410977362,0.563815434430653,49.012499999999996,51.150000000000006,10.54375,10.225,8.375,8.0,6.625,7.0,0.25,0.0,7.668749999999999,8.0,15.075350207007844,14.371136729721977,1.70706723508507,1.7176172312707045
TRBG-native-burden,2,8,0.1707305921527195,0.17551724137931035,0.17073059215271946,0.17551724137931035,125.0,123.0,0.5198327214550741,0.5406942786490445,9.875,8.5,0.7276032176617713,0.761000911992704,71.20625,66.27499999999999,19.225,18.724999999999998,9.875,8.5,7.75,8.0,0.0,0.0,7.074999999999999,7.0,20.08811127135828,18.556181034195248,1.8431263073192792,1.9116702861630332
TRBG-source,1,8,0.09283636545315585,0.09208448653792192,0.09283636545315584,0.09208448653792192,93.0,91.5,0.34522298292093523,0.33579266890267057,7.25,6.0,0.5181084042603327,0.5355994667921273,45.075,42.05,10.4375,9.05,7.25,6.0,6.125,6.5,0.0,0.0,8.006249999999998,8.149999999999999,16.600541940987203,14.834656578976968,1.7347578880880374,1.7318363706617543
TRBG-source,2,8,0.17037316892686707,0.17164931685100848,0.17037316892686705,0.17164931685100848,120.375,117.5,0.512812829541936,0.519108763368616,10.0,9.0,0.7029679039642756,0.7323447834435673,68.41875,62.075,19.15625,18.974999999999998,10.0,9.0,7.625,8.0,0.0,0.0,6.706249999999997,6.5,21.202032453266416,18.85153083472351,1.8880111994879232,1.9446151619077563
native_safeguarded_retune,1,8,0.015513059292472733,0.01783721242993155,0.015513059292472731,0.01783721242993155,7.375,8.5,0.0370814754794072,0.03665711234552915,0.0,0.0,0.04765841935887305,0.044671888856044936,5.6499999999999995,5.25,1.71875,2.1500000000000004,0.0,0.0,0.625,0.5,1.75,0.0,9.825,10.0,29.2306991372353,20.742656282583873,2.055969939739719,1.8167162877137546
native_safeguarded_retune,2,8,0.0156093090988977,0.017135453139321924,0.0156093090988977,0.017135453139321924,8.5,9.0,0.040386710187248,0.038638285893538675,0.0,0.0,0.05352507302352605,0.04728818132757691,6.449999999999999,5.3999999999999995,1.7562499999999999,1.825,0.0,0.0,0.75,0.5,1.625,0.0,9.8125,10.0,28.708313063601835,25.245270617441697,2.0561309178483613,1.801492215787849
native_unconstrained_retune,1,8,0.0,0.0,0.0,0.0,0.625,1.0,0.00040251669716124313,0.0,0.0,0.0,0.003058280402995879,0.004421237556119461,0.5375,0.5,0.0,0.0,0.0,0.0,0.25,0.0,2.5,0.0,2.5,0.0,4.007747024297714,4.33542788028717,0.21735901646707134,0.0
native_unconstrained_retune,2,8,0.08328306241820325,0.07867317749718282,0.08328306241820327,0.0786731774971828,46.25,44.5,0.18699038463249198,0.19532059272307245,0.25,0.0,0.2818809434327958,0.31630641244500013,30.53125,26.9,9.54375,8.025000000000002,0.25,0.0,2.75,3.0,0.0,0.0,8.581249999999997,8.749999999999996,23.55719376132347,23.201855056408125,1.7066429196942017,1.6111974028106504
source_frozen_transfer,1,8,0.09165344704797702,0.0968815415821501,0.09165344704797701,0.0968815415821501,102.75,96.5,0.38810656132903876,0.37500724609216063,13.5,15.5,0.5657872606734398,0.563185824788631,44.537499999999994,43.875,10.29375,9.75,13.5,15.5,6.125,7.0,0.125,0.0,7.9499999999999975,8.0,15.654045580277884,15.328183032414753,1.790577088029,1.7242248486344642
source_frozen_transfer,2,8,0.1772283346825436,0.191381320718355,0.17722833468254356,0.19138132071835495,130.125,126.5,0.557481206663066,0.542169742470378,17.5,19.0,0.7545682624678727,0.7567259461924305,67.8125,61.824999999999996,19.96875,19.25,17.5,19.0,8.125,8.5,0.0,0.0,6.21875,7.0,20.01364647884522,18.22452804414511,1.905676029862784,1.8707527695708257
topk_expected_consequence,1,8,0.07229359801579627,0.06704110189710985,0.07229359801579625,0.06704110189710982,94.75,86.0,0.35276786023631235,0.3216311923190869,14.75,17.5,0.5102129579750727,0.5106808778557295,40.1125,37.85,8.29375,6.800000000000001,14.75,17.5,5.875,5.5,0.5,0.0,8.375,9.0,13.533997497284572,13.45396667061262,1.7822246923741896,1.687431642959456
topk_expected_consequence,2,8,0.13216015222761324,0.13843356246534003,0.13216015222761318,0.13843356246534,124.0,120.5,0.4960025179858302,0.47071819445884644,17.5,19.5,0.6971963341182859,0.6973324213406293,60.475,57.075,15.08125,13.75,17.5,19.5,7.625,9.0,0.0,0.0,5.675000000000001,6.0,17.261831401664463,17.30388470176107,1.8407378012435887,1.9028659489066981
winner_replay,1,8,0.06289311908158118,0.07145380430358893,0.06289311908158118,0.07145380430358894,77.875,79.0,0.2808203259011209,0.24317785399195424,7.875,8.0,0.4281637204336693,0.447090112640801,32.16875,30.525,7.06875,6.85,7.875,8.0,4.625,3.5,0.375,0.0,8.724999999999996,8.899999999999991,16.36037615117053,15.520801537810511,1.6894535738934968,1.6510911779879458
winner_replay,2,8,0.1263992814805421,0.13170603697499575,0.12639928148054208,0.13170603697499572,117.875,114.0,0.45700611389471124,0.4280549394863905,11.5,12.5,0.6649397574908742,0.6729936160510716,59.918749999999996,57.125,14.26875,14.25,11.5,12.5,7.125,7.5,0.0,0.0,6.431249999999999,7.224999999999994,17.858900827584243,17.348617808340126,1.7771699304677608,1.8273110046120482
