B,comparison,metric,mean_delta,median_delta,bootstrap95_ci_low,bootstrap95_ci_high,exact_sign_test_p,sign_flip_p,wins,losses,ties
1,TRBG-source vs source_frozen_transfer,recall,0.0011829184051788278,0.002695417789757411,-0.0030932586558388847,0.005198552106504951,1.0,0.625,4,3,1
1,TRBG-source vs source_frozen_transfer,backend_fail,-9.75,-11.5,-15.25,-3.875,0.2890625,0.03125,2,6,0
1,TRBG-source vs source_frozen_transfer,cost,-0.04288357840810359,-0.05489786285471229,-0.09628244036183349,0.012571278521542578,0.7265625,0.1953125,3,5,0
1,TRBG-source vs source_frozen_transfer,unnecessary,-6.25,-6.5,-8.25,-4.0,0.015625,0.015625,0,7,1
1,TRBG-source vs source_frozen_transfer,recover_fail,0.0,0.0,-0.75,0.75,1.0,1.0,1,1,6
1,TRBG-source vs source_frozen_transfer,recall_per_backend_fail,9.584031102461386e-05,7.134806284628015e-05,3.895716394547472e-05,0.00015751207280185027,0.0703125,0.0234375,7,1,0
1,TRBG-source vs source_frozen_transfer,recall_per_cost,0.028217539597841925,0.02687731889415848,-0.011023138221290953,0.06779332280114735,0.0703125,0.2421875,7,1,0
1,TRBG-source vs source_frozen_transfer,served_attack_mass,0.537500000000001,-0.2249999999999961,-1.3062500000000008,3.03765625,1.0,0.84375,4,4,0
1,TRBG-source vs source_frozen_transfer,backend_success_attack_mass,0.14375000000000004,0.25,-0.33125000000000027,0.5937499999999996,1.0,0.578125,4,3,1
1,TRBG-native-burden vs source_frozen_transfer,recall,0.0011017506730089891,0.0,-0.006544456695948429,0.009622060088868343,1.0,0.78125,3,3,2
1,TRBG-native-burden vs source_frozen_transfer,backend_fail,-2.375,-3.5,-5.375,0.875,0.7265625,0.2265625,3,5,0
1,TRBG-native-burden vs source_frozen_transfer,cost,-0.022253392628548096,0.00896700051029492,-0.056595174106521345,0.006443796730925794,0.7265625,0.2578125,5,3,0
1,TRBG-native-burden vs source_frozen_transfer,unnecessary,-5.125,-5.0,-6.75,-3.375,0.015625,0.015625,0,7,1
1,TRBG-native-burden vs source_frozen_transfer,recover_fail,0.5,0.5,-0.125,1.125,0.375,0.3125,4,1,3
1,TRBG-native-burden vs source_frozen_transfer,recall_per_backend_fail,3.3996687705317976e-05,1.907643654819243e-05,-8.743205431878166e-05,0.0001735738475284343,0.7265625,0.6796875,5,3,0
1,TRBG-native-burden vs source_frozen_transfer,recall_per_cost,0.024333511844549294,0.009641500468772754,-0.014644072096557454,0.07089781549067849,0.7265625,0.3515625,5,3,0
1,TRBG-native-burden vs source_frozen_transfer,served_attack_mass,4.4750000000000005,4.349999999999998,2.8937500000000007,6.21875,0.0078125,0.0078125,8,0,0
1,TRBG-native-burden vs source_frozen_transfer,backend_success_attack_mass,0.2500000000000002,0.0,-0.7624999999999993,1.4374999999999998,1.0,0.71875,3,3,2
1,TRBG-source vs topk_expected_consequence,recall,0.020542767437359583,0.018435007871079698,0.006276910647005761,0.035927186671127896,0.0703125,0.0390625,7,1,0
1,TRBG-source vs topk_expected_consequence,backend_fail,-1.75,-2.5,-10.375,5.75,0.7265625,0.7578125,3,5,0
1,TRBG-source vs topk_expected_consequence,cost,-0.007544877315377174,-0.020613519635762467,-0.07370582570377124,0.06092751073874689,0.2890625,0.8359375,2,6,0
1,TRBG-source vs topk_expected_consequence,unnecessary,-7.5,-6.5,-10.5,-4.375,0.0703125,0.015625,1,7,0
1,TRBG-source vs topk_expected_consequence,recover_fail,0.25,0.5,-0.625,1.0,0.6875,0.78125,4,2,2
1,TRBG-source vs topk_expected_consequence,recall_per_backend_fail,0.0002126454510364646,0.00020141219659470123,4.096740538817328e-05,0.00041130776040124335,0.2890625,0.0546875,6,2,0
1,TRBG-source vs topk_expected_consequence,recall_per_cost,0.049234812673065766,0.0540317835677884,-0.010184298301948285,0.11348926752046054,0.7265625,0.203125,5,3,0
1,TRBG-source vs topk_expected_consequence,served_attack_mass,4.962499999999999,3.4250000000000007,-0.5812499999999998,10.54375,0.453125,0.171875,5,2,1
1,TRBG-source vs topk_expected_consequence,backend_success_attack_mass,2.14375,2.1999999999999997,0.5248437499999998,3.712656249999997,0.0703125,0.046875,7,1,0
1,TRBG-native-burden vs topk_expected_consequence,recall,0.020461599705189744,0.020465212245183207,0.009666576111203855,0.031666621318148486,0.125,0.03125,6,1,1
1,TRBG-native-burden vs topk_expected_consequence,backend_fail,5.625,10.5,-0.375,10.625,0.2890625,0.1328125,6,2,0
1,TRBG-native-burden vs topk_expected_consequence,cost,0.013085308464178321,9.875972444847725e-05,-0.018247298986547148,0.05495347392458012,1.0,0.6796875,4,4,0
1,TRBG-native-burden vs topk_expected_consequence,unnecessary,-6.375,-6.5,-8.875,-3.75,0.0703125,0.015625,1,7,0
1,TRBG-native-burden vs topk_expected_consequence,recover_fail,0.75,0.5,0.0,1.625,0.375,0.25,4,1,3
1,TRBG-native-burden vs topk_expected_consequence,recall_per_backend_fail,0.00015080182771716873,0.00019968906289046326,3.211911422574705e-05,0.0002670920973280157,0.7265625,0.0625,5,3,0
1,TRBG-native-burden vs topk_expected_consequence,recall_per_cost,0.04535078491977314,0.06771926601299527,-0.0034320155190023004,0.08950421022771748,0.7265625,0.1875,5,3,0
1,TRBG-native-burden vs topk_expected_consequence,served_attack_mass,8.899999999999999,8.324999999999996,3.9871874999999974,13.91265625,0.0703125,0.015625,7,1,0
1,TRBG-native-burden vs topk_expected_consequence,backend_success_attack_mass,2.25,2.4499999999999997,1.18109375,3.2624999999999997,0.125,0.03125,6,1,1
1,TRBG-source vs winner_replay,recall,0.029943246371574663,0.02296804863780254,0.01684910943544241,0.04677795613751361,0.0078125,0.0078125,8,0,0
1,TRBG-source vs winner_replay,backend_fail,15.125,10.5,7.0,24.625,0.015625,0.015625,7,0,1
