method,B,block_id,block_name,jobs,attack_jobs,clean_jobs,served_jobs,served_attack_jobs,served_clean_jobs,total_attack_mass,served_attack_mass,backend_success_attack_mass,block_recall,backend_fail,recover_fail
native_safeguarded_retune,1,0,strong3_front,120,120,0,2,2,0,125.99999999999997,2.0999999999999996,1.0499999999999998,0.008333333333333333,1,0
native_safeguarded_retune,1,1,clean_after_strong3,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0
native_safeguarded_retune,1,2,strong2_mid,89,89,0,3,3,0,44.5,1.5,0.5,0.011235955056179775,2,0
native_safeguarded_retune,1,3,clean_mid,9,0,9,0,0,0,0.0,0.0,0.0,0.0,0,0
native_safeguarded_retune,1,4,weak1_late,47,47,0,3,3,0,7.05,0.44999999999999996,0.0,0.0,3,0
native_safeguarded_retune,1,5,clean_tail,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0
native_unconstrained_retune,1,0,strong3_front,120,120,0,1,1,0,125.99999999999997,1.0499999999999998,0.0,0.0,1,0
native_unconstrained_retune,1,1,clean_after_strong3,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0
native_unconstrained_retune,1,2,strong2_mid,89,89,0,0,0,0,44.5,0.0,0.0,0.0,0,0
native_unconstrained_retune,1,3,clean_mid,9,0,9,0,0,0,0.0,0.0,0.0,0.0,0,0
native_unconstrained_retune,1,4,weak1_late,47,47,0,0,0,0,7.05,0.0,0.0,0.0,0,0
native_unconstrained_retune,1,5,clean_tail,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0
source_frozen_transfer,1,0,strong3_front,120,120,0,12,12,0,125.99999999999997,12.599999999999998,9.45,0.07500000000000001,3,0
source_frozen_transfer,1,1,clean_after_strong3,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0
source_frozen_transfer,1,2,strong2_mid,89,89,0,65,65,0,44.5,32.5,2.0,0.0449438202247191,61,2
source_frozen_transfer,1,3,clean_mid,9,0,9,9,0,9,0.0,0.0,0.0,0.0,9,1
source_frozen_transfer,1,4,weak1_late,47,47,0,47,47,0,7.05,7.05,0.15,0.02127659574468085,46,1
source_frozen_transfer,1,5,clean_tail,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0
topk_expected_consequence,1,0,strong3_front,120,120,0,19,19,0,125.99999999999997,19.949999999999996,8.399999999999999,0.06666666666666667,11,1
topk_expected_consequence,1,1,clean_after_strong3,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0
topk_expected_consequence,1,2,strong2_mid,89,89,0,51,51,0,44.5,25.5,1.0,0.02247191011235955,49,2
