method,B,n,recall,recall_median,scheduler_recall,scheduler_recall_median,unnecessary,unnecessary_median,cost,cost_median,backend_fail,backend_fail_median,recover_fail,recover_fail_median,delay_p95,delay_p95_median,served_ratio,served_ratio_median,served_attack_mass,served_attack_mass_median,backend_success_attack_mass,backend_success_attack_mass_median,clean_service,clean_service_median
best_static_threshold,1,8,0.6489834453231242,0.6669326948656559,0.6489834453231242,0.6669326948656559,0.0,0.0,6.391060521146282,6.379961023838643,1.0,1.0,0.0,0.0,10.0,10.0,0.44554803548863275,0.43244118281890787,76.21875,72.27499999999999,75.80000000000001,71.57499999999999,0.0,0.0
best_static_threshold,2,8,0.8418430530321575,0.8497351359438587,0.8418430530321575,0.8497351359438587,0.0,0.0,7.842772640812772,7.894784820254687,1.125,1.0,0.0,0.0,0.96875,0.875,0.549251451739704,0.5212797472104276,99.55624999999999,93.42499999999998,99.04374999999999,92.85,0.0,0.0
incumbent_queue_aware,1,8,0.6067100305842383,0.616519788813465,0.6067100305842383,0.616519788813465,2.75,2.5,5.894381758378317,5.94033755696862,2.125,2.0,0.0,0.0,4.63125,4.524999999999999,0.4150487830896275,0.40777241440958256,71.80625,68.19999999999999,71.32499999999999,68.19999999999999,2.75,2.5
incumbent_queue_aware,2,8,0.8676333180198357,0.8622031299535001,0.8676333180198357,0.8622031299535001,2.75,2.5,8.11608147471877,8.145273349130093,2.25,2.0,0.0,0.0,0.9124999999999996,1.0,0.5697690570415693,0.5516752894801675,102.61875,97.725,102.04374999999999,96.52499999999999,2.75,2.5
original_proposed_safeguarded,1,8,0.7136882894324801,0.7265193249100482,0.7136882894324801,0.7265193249100482,6.125,6.0,9.373113999008279,8.94792255024377,5.375,5.5,0.0,0.0,8.1375,8.0,0.6149793551372451,0.6369770580296896,84.53125,80.07499999999999,83.6125,79.0,6.125,6.0
original_proposed_safeguarded,2,8,0.9709665907420855,0.973546362851254,0.9709665907420855,0.973546362851254,9.125,8.0,12.120658306654029,12.068415847706028,8.125,8.5,0.0,0.0,0.78125,0.625,0.8081447215528077,0.8129331046312178,114.94375,111.44999999999999,113.2625,109.725,9.125,8.0
proposed_plus_TRBG_source,1,8,0.6841868531406617,0.7036913817416708,0.6841868531406617,0.7036913817416708,22.625,22.5,8.746839316613658,8.82738054499357,3.875,4.0,0.0,0.0,7.756249999999998,8.0,0.5970087232178465,0.5862545669991113,81.14375,75.39999999999999,80.2875,74.89999999999999,22.625,22.5
proposed_plus_TRBG_source,2,8,0.9446899058802259,0.9482356295901553,0.9446899058802259,0.9482356295901553,38.875,39.0,12.710137953778817,12.925959142049283,8.25,7.5,0.0,0.0,1.1812499999999986,1.0,0.861892709565972,0.8627781161549211,111.975,106.875,110.40625,105.52499999999999,38.875,39.0
topk_expected_consequence,1,8,0.7292317722877835,0.7371689521730942,0.7292317722877835,0.7371689521730942,46.25,44.5,12.396536288239568,12.639790224076412,10.125,9.0,0.0,0.0,6.381249999999998,5.799999999999997,0.8306061342354851,0.832048877688566,86.01875000000001,80.175,85.19375,79.35,46.25,44.5
topk_expected_consequence,2,8,0.9823130622795,0.9856467933749129,0.9823130622795,0.9856467933749129,47.0,45.0,14.891170438438472,15.25307782864867,12.0,11.5,0.0,0.0,0.5,0.5,0.9991315472606863,1.0,116.175,112.94999999999999,114.4375,111.14999999999999,47.0,45.0
