method,calibration_mode,holdout_id,B,alpha,fail_cap_quantile,recall,scheduler_recall,backend_fail,cost,unnecessary,served_ratio,served_attack_mass,backend_success_attack_mass,clean_service,served_clean_count,served_attack_count,recover_fail,recover_fail_attack,recover_fail_clean,delay_p50,delay_p95,average_service_time,average_service_cost,total_service_cost,actual_backend_fail_used_in_decision,actual_recover_fail_used_in_decision,fresh_bank,validation_scope
native_safeguarded_retune,,reduced_interleaved_0,1,,,0.014209591474245118,0.014209591474245118,1,0.01102727541456261,0,0.02631578947368421,0.55,0.4,0,0,2,0,0,0,5.0,9.5,32.45876884460449,1.3232730497475131,2.6465460994950263,False,False,reduced_interleaved_0,gate8_reduced_fresh_sanity
native_unconstrained_retune,,reduced_interleaved_0,1,,,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,False,reduced_interleaved_0,gate8_reduced_fresh_sanity
source_frozen_transfer,,reduced_interleaved_0,1,,,0.019538188277087035,0.019538188277087035,69,0.4124149101811895,20,0.9342105263157895,26.15,0.55,20,20,51,3,1,2,0.0,4.5,8.81487785930365,1.394078569626556,98.97957844348548,False,False,reduced_interleaved_0,gate8_reduced_fresh_sanity
topk_expected_consequence,,reduced_interleaved_0,1,,,0.014209591474245118,0.014209591474245118,54,0.3075825682328021,17,0.7236842105263158,19.45,0.4,17,17,38,2,1,1,1.0,10.0,8.617789467898282,1.3421784795613183,73.8198163758725,False,False,reduced_interleaved_0,gate8_reduced_fresh_sanity
winner_replay,,reduced_interleaved_0,1,,,0.019538188277087035,0.019538188277087035,37,0.20897984114949775,13,0.5131578947368421,9.65,0.55,13,13,26,1,0,1,2.0,10.0,10.611723526930197,1.286029791689217,50.15516187587946,False,False,reduced_interleaved_0,gate8_reduced_fresh_sanity
TRBG-source,TRBG-source,reduced_interleaved_0,1,1.0,1.0,0.019538188277087035,0.019538188277087035,59,0.39422631428578825,12,0.8026315789473685,25.849999999999998,0.55,12,12,49,3,1,2,0.0,8.0,9.16995888850728,1.5510543512883472,94.61431542858918,False,False,reduced_interleaved_0,gate8_reduced_fresh_sanity
native_safeguarded_retune,,reduced_interleaved_0,2,,,0.014209591474245118,0.014209591474245118,1,0.01102727541456261,0,0.02631578947368421,0.55,0.4,0,0,2,0,0,0,5.0,9.5,32.45876884460449,1.3232730497475131,2.6465460994950263,False,False,reduced_interleaved_0,gate8_reduced_fresh_sanity
native_unconstrained_retune,,reduced_interleaved_0,2,,,0.014209591474245118,0.014209591474245118,14,0.04524934664134055,0,0.19736842105263158,3.25,0.4,0,0,15,0,0,0,0.0,10.0,11.879252401987712,0.7239895462614488,10.859843193921733,False,False,reduced_interleaved_0,gate8_reduced_fresh_sanity
source_frozen_transfer,,reduced_interleaved_0,2,,,0.019538188277087035,0.019538188277087035,74,0.4789669368121281,20,1.0,28.15,0.55,20,20,56,3,1,2,0.0,0.0,8.79788909460369,1.5125271688804045,114.95206483491074,False,False,reduced_interleaved_0,gate8_reduced_fresh_sanity
topk_expected_consequence,,reduced_interleaved_0,2,,,0.019538188277087035,0.019538188277087035,73,0.47497558260369793,20,0.9868421052631579,27.75,0.55,20,20,55,3,1,2,0.0,5.0,8.833763863245647,1.5199218643318333,113.9941398248875,False,False,reduced_interleaved_0,gate8_reduced_fresh_sanity
winner_replay,,reduced_interleaved_0,2,,,0.019538188277087035,0.019538188277087035,66,0.41471026419191426,15,0.8947368421052632,25.95,0.55,15,15,53,2,1,1,0.0,6.0,9.164775659056271,1.463683285383227,99.53046340605943,False,False,reduced_interleaved_0,gate8_reduced_fresh_sanity
TRBG-source,TRBG-source,reduced_interleaved_0,2,1.0,1.0,0.019538188277087035,0.019538188277087035,67,0.4480958113499923,15,0.9078947368421053,27.849999999999998,0.55,15,15,54,3,1,2,0.0,1.0,8.921077704084093,1.558594126434756,107.54299472399816,False,False,reduced_interleaved_0,gate8_reduced_fresh_sanity
native_safeguarded_retune,,reduced_tailheavy_1,1,,,0.0,0.0,1,0.0007261415188622777,0,0.012195121951219513,0.1,0.0,0,0,1,0,0,0,10.0,10.0,6.994385004043579,0.17427396452694666,0.17427396452694666,False,False,reduced_tailheavy_1,gate8_reduced_fresh_sanity
native_unconstrained_retune,,reduced_tailheavy_1,1,,,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,False,reduced_tailheavy_1,gate8_reduced_fresh_sanity
source_frozen_transfer,,reduced_tailheavy_1,1,,,0.06493506493506493,0.06493506493506494,38,0.3222183343956999,22,0.5121951219512195,5.1,2.4999999999999996,22,22,20,2,0,2,0.0,4.849999999999987,25.649575142633346,1.8412476251182852,77.33240025496798,False,False,reduced_tailheavy_1,gate8_reduced_fresh_sanity
topk_expected_consequence,,reduced_tailheavy_1,1,,,0.03766233766233766,0.03766233766233767,36,0.29093397576859087,21,0.47560975609756095,3.95,1.4499999999999997,21,21,18,2,0,2,0.0,6.100000000000001,14.323793619106977,1.790362927806713,69.8241541844618,False,False,reduced_tailheavy_1,gate8_reduced_fresh_sanity
winner_replay,,reduced_tailheavy_1,1,,,0.03766233766233766,0.03766233766233767,25,0.163220660301954,15,0.32926829268292684,3.35,1.4499999999999997,15,15,12,2,0,2,0.0,7.399999999999999,16.17004629417702,1.4508503137951467,39.17295847246896,False,False,reduced_tailheavy_1,gate8_reduced_fresh_sanity
TRBG-source,TRBG-source,reduced_tailheavy_1,1,1.0,1.0,0.06493506493506493,0.06493506493506494,26,0.22925887705340528,11,0.35365853658536583,4.6,2.4999999999999996,11,11,18,1,0,1,0.0,4.599999999999998,32.90154478467744,1.8973148445799057,55.02213049281727,False,False,reduced_tailheavy_1,gate8_reduced_fresh_sanity
native_safeguarded_retune,,reduced_tailheavy_1,2,,,0.0,0.0,1,0.0007261415188622777,0,0.012195121951219513,0.1,0.0,0,0,1,0,0,0,10.0,10.0,6.994385004043579,0.17427396452694666,0.17427396452694666,False,False,reduced_tailheavy_1,gate8_reduced_fresh_sanity
native_unconstrained_retune,,reduced_tailheavy_1,2,,,0.1090909090909091,0.10909090909090911,2,0.06605672413955593,0,0.07317073170731707,4.699999999999999,4.199999999999999,0,0,6,0,0,0,3.0,9.25,79.73504753907521,2.6422689655822373,15.853613793493423,False,False,reduced_tailheavy_1,gate8_reduced_fresh_sanity
source_frozen_transfer,,reduced_tailheavy_1,2,,,0.14025974025974028,0.1402597402597403,45,0.4567323819320109,24,0.6463414634146342,10.0,5.3999999999999995,24,24,29,2,0,2,0.0,4.0,32.80018823101835,2.068222106861936,109.61577166368261,False,False,reduced_tailheavy_1,gate8_reduced_fresh_sanity
topk_expected_consequence,,reduced_tailheavy_1,2,,,0.1025974025974026,0.10259740259740262,45,0.4710199826023275,24,0.6219512195121951,9.2,3.9499999999999993,24,24,27,2,0,2,0.0,1.5,18.676824111564486,2.216564624010953,113.0447958245586,False,False,reduced_tailheavy_1,gate8_reduced_fresh_sanity
winner_replay,,reduced_tailheavy_1,2,,,0.08571428571428573,0.08571428571428574,38,0.3805878564749681,17,0.524390243902439,7.5,3.3,17,17,26,2,0,2,0.0,3.6999999999999957,17.999358925708506,2.1242112919533103,91.34108555399234,False,False,reduced_tailheavy_1,gate8_reduced_fresh_sanity
TRBG-source,TRBG-source,reduced_tailheavy_1,2,1.0,1.0,0.112987012987013,0.11298701298701302,36,0.3992600340487532,18,0.524390243902439,8.049999999999999,4.35,18,18,25,2,0,2,0.0,0.8999999999999986,32.92116063694621,2.228428097016297,95.82240817170077,False,False,reduced_tailheavy_1,gate8_reduced_fresh_sanity
native_safeguarded_retune,,reduced_cleanheavy_2,1,,,0.08298755186721991,0.08298755186721991,9,0.2193752028257677,0,0.13580246913580246,2.7,1.0,0,0,11,0,0,0,0.0,5.0,12.671057245948099,4.786368061653113,52.65004867818425,False,False,reduced_cleanheavy_2,gate8_reduced_fresh_sanity
native_unconstrained_retune,,reduced_cleanheavy_2,1,,,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,False,reduced_cleanheavy_2,gate8_reduced_fresh_sanity
source_frozen_transfer,,reduced_cleanheavy_2,1,,,0.12448132780082986,0.12448132780082986,59,0.6108650027523103,43,0.7901234567901234,4.55,1.5,43,43,21,2,0,2,0.0,3.8499999999999943,10.791738174855709,2.2907437603211633,146.60760066055445,False,False,reduced_cleanheavy_2,gate8_reduced_fresh_sanity
topk_expected_consequence,,reduced_cleanheavy_2,1,,,0.20746887966804978,0.20746887966804978,65,0.6661250597271646,45,0.8888888888888888,7.55,2.5,45,45,27,2,0,2,0.0,7.450000000000003,8.62468914190928,2.2204168657572154,159.8700143345195,False,False,reduced_cleanheavy_2,gate8_reduced_fresh_sanity
winner_replay,,reduced_cleanheavy_2,1,,,0.12448132780082986,0.12448132780082986,47,0.4870670609955672,29,0.6172839506172839,4.55,1.5,29,29,21,2,0,2,0.0,7.549999999999997,10.807468752861023,2.337921892778722,116.89609463893612,False,False,reduced_cleanheavy_2,gate8_reduced_fresh_sanity
TRBG-source,TRBG-source,reduced_cleanheavy_2,1,1.0,1.0,0.12448132780082986,0.12448132780082986,36,0.31366454477767625,21,0.49382716049382713,4.25,1.5,21,21,19,2,0,2,0.0,9.0,13.539899742603302,1.8819872686660575,75.2794907466423,False,False,reduced_cleanheavy_2,gate8_reduced_fresh_sanity
native_safeguarded_retune,,reduced_cleanheavy_2,2,,,0.08298755186721991,0.08298755186721991,9,0.2193752028257677,0,0.13580246913580246,2.7,1.0,0,0,11,0,0,0,0.0,4.5,12.671057245948099,4.786368061653113,52.65004867818425,False,False,reduced_cleanheavy_2,gate8_reduced_fresh_sanity
native_unconstrained_retune,,reduced_cleanheavy_2,2,,,0.20746887966804978,0.20746887966804978,15,0.2281310116157935,0,0.24691358024691357,5.8,2.5,0,0,20,1,1,0,0.0,9.05,24.65218540430069,2.737572139389522,54.75144278779044,False,False,reduced_cleanheavy_2,gate8_reduced_fresh_sanity
source_frozen_transfer,,reduced_cleanheavy_2,2,,,0.20746887966804978,0.20746887966804978,63,0.6254199058913931,45,0.8641975308641975,6.55,2.5,45,45,25,3,1,2,0.0,0.0,14.083203077316284,2.1442968201990618,150.10077741393434,False,False,reduced_cleanheavy_2,gate8_reduced_fresh_sanity
topk_expected_consequence,,reduced_cleanheavy_2,2,,,0.2904564315352697,0.2904564315352697,65,0.6706927043280682,45,0.9135802469135802,8.55,3.5,45,45,29,2,0,2,0.0,2.0,12.243271492622995,2.175219581604545,160.96624903873635,False,False,reduced_cleanheavy_2,gate8_reduced_fresh_sanity
winner_replay,,reduced_cleanheavy_2,2,,,0.24896265560165973,0.24896265560165973,51,0.5090300740341112,32,0.7037037037037037,6.55,3.0,32,32,25,2,0,2,0.0,2.799999999999983,15.15775685979609,2.143284522248889,122.16721776818667,False,False,reduced_cleanheavy_2,gate8_reduced_fresh_sanity
