method,B,n,scheduler_recall,scheduler_recall_median,backend_fail,backend_fail_median,cost,cost_median,recover_fail,recover_fail_median,unnecessary,unnecessary_median,served_ratio,served_ratio_median,served_attack_mass,served_attack_mass_median,backend_success_attack_mass,backend_success_attack_mass_median,clean_service,clean_service_median,delay_p50,delay_p50_median,delay_p95,delay_p95_median
TRBG-source,1,4,0.08362392663852684,0.0947081963679474,39.5,36.5,0.2994465955621223,0.28715059545464783,1.75,1.5,15.75,15.5,0.536092537397445,0.49404001702852274,10.7,6.35,2.2249999999999996,1.9999999999999998,15.75,15.5,0.0,0.0,7.624999999999999,8.45
TRBG-source,2,4,0.13911107434559156,0.1602279463275314,47.75,44.0,0.42023486131446974,0.42367792269937277,2.25,2.5,21.75,22.0,0.6708639229213427,0.6255853554704129,13.3875,9.649999999999999,3.7249999999999996,3.425,21.75,22.0,0.0,0.0,1.8999999999999968,0.9499999999999993
native_safeguarded_retune,1,4,0.031875043411123835,0.02225631088863771,4.75,4.5,0.06154978882956167,0.013048905486808357,0.0,0.0,0.0,0.0,0.06944041410569378,0.0648820326678766,1.625,1.625,0.6124999999999999,0.7,0.0,0.0,3.75,2.5,8.525,9.55
native_safeguarded_retune,2,4,0.031875043411123835,0.02225631088863771,5.0,5.0,0.0652779051224589,0.020505138072602826,0.0,0.0,0.0,0.0,0.0723139773240846,0.0706291591046582,1.8874999999999997,1.625,0.6124999999999999,0.7,0.0,0.0,3.75,2.5,8.3875,9.524999999999999
native_unconstrained_retune,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
native_unconstrained_retune,2,4,0.12165338401933996,0.13246753246753248,12.75,14.5,0.1487994172377512,0.1470938678776747,0.25,0.0,0.0,0.0,0.20407582692987647,0.22214100064977257,5.5375,5.25,3.125,3.3499999999999996,0.0,0.0,0.75,0.0,7.8875,9.15
source_frozen_transfer,1,4,0.08362392663852684,0.0947081963679474,54.75,56.0,0.4329642298042799,0.39938679103455477,2.25,2.0,29.75,28.0,0.7315460693677314,0.7398893146019583,11.049999999999999,6.749999999999999,2.2249999999999996,1.9999999999999998,29.75,28.0,0.0,0.0,4.299999999999995,4.25
source_frozen_transfer,2,4,0.1459292561637734,0.17386430996389504,59.25,59.0,0.5247838378286981,0.5084915317456942,2.5,2.5,31.25,30.0,0.8144163577651102,0.8056619838229033,14.062499999999998,10.774999999999999,3.9875,3.9499999999999997,31.25,30.0,0.0,0.0,1.75,1.5
topk_expected_consequence,1,4,0.08864472601068195,0.06645021645021644,52.5,54.5,0.40389228380543374,0.3292550498629898,2.0,2.0,29.75,28.5,0.6973330702000305,0.7124168179068361,9.575,7.449999999999999,1.9124999999999996,1.9749999999999999,29.75,28.5,0.25,0.0,7.137500000000001,6.775000000000002
topk_expected_consequence,2,4,0.14210904456347878,0.12922077922077924,59.5,60.0,0.5222588209644694,0.47366129846374083,2.25,2.0,31.25,30.0,0.8116278756808539,0.8188590889740315,13.7375,9.325,3.3499999999999996,3.7249999999999996,31.25,30.0,0.0,0.0,2.799999999999999,2.349999999999998
winner_replay,1,4,0.06922998724458745,0.06645021645021644,37.5,39.0,0.2795293937294938,0.23391492681022708,1.5,1.5,19.25,17.5,0.4942378793368494,0.5151996370235935,6.225,5.949999999999999,1.6999999999999997,1.4749999999999999,19.25,17.5,0.5,0.0,8.237499999999999,7.774999999999999
winner_replay,2,4,0.1275148213592971,0.12077922077922079,49.5,47.0,0.434842055096207,0.4248751449378744,1.75,2.0,21.75,20.0,0.6715122951290009,0.6334610472541506,12.1,7.949999999999999,3.0625,3.15,21.75,20.0,0.0,0.0,4.474999999999989,4.5499999999999865
