method,calibration_mode,holdout_id,B,alpha,fail_cap_quantile,recall,scheduler_recall,backend_fail,cost,unnecessary,served_ratio,served_attack_mass,backend_success_attack_mass,clean_service,served_clean_count,served_attack_count,recover_fail,recover_fail_attack,recover_fail_clean,delay_p50,delay_p95,average_service_time,average_service_cost,total_service_cost,actual_backend_fail_used_in_decision,actual_recover_fail_used_in_decision,component
source_frozen_transfer,,cfA_frontloaded_0_seed20260511_off1020,1,0.0,,0.10107197549770293,0.10107197549770293,140,0.4322735128084711,14,0.6723404255319149,52.2,9.9,14,14,144,9,8,1,0.0,9.0,11.66007199468492,1.477390486813762,233.4276969165744,False,False,none
fail_only_alpha_0.25,,cfA_frontloaded_0_seed20260511_off1020,1,0.25,,0.10107197549770293,0.10107197549770293,131,0.42880473638076133,5,0.6340425531914894,52.2,9.9,5,5,144,8,8,0,0.0,9.599999999999994,12.073412045536426,1.5540574338631619,231.5545576456111,False,False,fail_only
fail_only_alpha_0.5,,cfA_frontloaded_0_seed20260511_off1020,1,0.5,,0.10107197549770293,0.10107197549770293,128,0.4012312940025814,3,0.6212765957446809,52.65,9.9,3,3,143,8,8,0,0.0,9.0,12.219424429005139,1.4840061558999584,216.66489876139394,False,False,fail_only
fail_only_alpha_1.0,,cfA_frontloaded_0_seed20260511_off1020,1,1.0,,0.10107197549770293,0.10107197549770293,123,0.3820200247995318,3,0.6,50.85,9.9,3,3,138,8,8,0,0.0,8.0,12.345132002593777,1.4630554141258665,206.29081339174718,False,False,fail_only
cost_time_only_alpha_0.25,,cfA_frontloaded_0_seed20260511_off1020,1,0.25,,0.10107197549770293,0.10107197549770293,139,0.36854850387483445,10,0.6680851063829787,54.45,9.9,10,10,147,10,9,1,0.0,9.0,11.705152851760767,1.2676190579134434,199.01619209241062,False,False,cost_time_only
cost_time_only_alpha_0.5,,cfA_frontloaded_0_seed20260511_off1020,1,0.5,,0.10107197549770293,0.10107197549770293,138,0.36841441651560203,10,0.6638297872340425,53.7,9.9,10,10,146,10,9,1,0.0,9.0,11.610281884670258,1.275280672554007,198.94378491842508,False,False,cost_time_only
cost_time_only_alpha_1.0,,cfA_frontloaded_0_seed20260511_off1020,1,1.0,,0.08320571720265443,0.08320571720265443,137,0.35309897108080956,10,0.6468085106382979,52.2,8.15,10,10,142,9,8,1,0.0,10.0,11.89125445014552,1.2544305551555077,190.67344438363716,False,False,cost_time_only
full_trbg_alpha_0.25,,cfA_frontloaded_0_seed20260511_off1020,1,0.25,,0.10107197549770293,0.10107197549770293,131,0.4127836456471439,4,0.6340425531914894,52.95,9.9,4,4,145,8,8,0,0.0,9.0,12.078449089255109,1.495994420466159,222.9031686494577,False,False,full_trbg
full_trbg_alpha_0.5,,cfA_frontloaded_0_seed20260511_off1020,1,0.5,,0.10107197549770293,0.10107197549770293,132,0.39560759738910156,4,0.6382978723404256,54.3,9.9,4,4,146,9,9,0,0.0,9.549999999999983,12.03996394475301,1.4241873506007656,213.62810259011485,False,False,full_trbg
full_trbg_alpha_1.0,,cfA_frontloaded_0_seed20260511_off1020,1,1.0,,0.0908626850433895,0.0908626850433895,128,0.3488381217145523,3,0.6127659574468085,52.85,8.9,3,3,141,9,9,0,0.0,8.0,12.01616075138251,1.3081429564295712,188.37258572585824,False,False,full_trbg
