component,alpha,B,n,recall,recall_median,scheduler_recall,scheduler_recall_median,unnecessary,unnecessary_median,cost,cost_median,backend_fail,backend_fail_median,recover_fail,recover_fail_median,delay_p95,delay_p95_median,served_ratio,served_ratio_median,served_attack_mass,served_attack_mass_median,backend_success_attack_mass,backend_success_attack_mass_median,clean_service,clean_service_median,recall_retention_vs_source,backend_fail_reduction_vs_source,cost_delta_vs_source
cost_time_only,0.25,1,8,0.09443801674457561,0.09921752933100156,0.09443801674457561,0.09921752933100156,11.5,12.5,0.38540304576731776,0.37064015022453645,104.875,99.5,6.25,7.0,8.1625,8.399999999999999,0.5773699651153313,0.5855427768754664,48.300000000000004,47.2,10.618749999999999,9.75,11.5,12.5,1.0303815054019843,-0.02068126520681265,-0.0027035155617209927
cost_time_only,0.25,2,8,0.1752105627442282,0.18571887486578303,0.1752105627442282,0.18571887486578303,17.125,19.0,0.5777390619506355,0.568066321061196,134.25,128.5,8.25,8.5,6.293749999999996,6.224999999999994,0.7739338457671323,0.7669084702368252,72.06875,65.575,19.881249999999998,18.349999999999998,17.125,19.0,0.9886148456908448,-0.03170028818443804,0.020257855287569515
cost_time_only,0.5,1,8,0.0935635395046816,0.10175302628840521,0.0935635395046816,0.10175302628840521,11.375,12.0,0.3869967652115215,0.3571978150325343,106.625,105.0,6.625,7.0,8.5625,9.0,0.587500772303651,0.5981799418331926,49.8625,51.925,10.475,10.0,11.375,12.0,1.020840377729653,-0.037712895377128956,-0.00110979611751727
cost_time_only,0.5,2,8,0.17230108588894094,0.17565096274133013,0.17230108588894094,0.17565096274133013,16.5,18.0,0.5534019296203343,0.5399120158345719,133.125,127.5,8.0,8.5,6.787499999999998,7.0249999999999915,0.7670780460963683,0.7801527587779298,71.18125,64.05,19.45,18.599999999999998,16.5,18.0,0.9721983011213842,-0.023054755043227664,-0.004079277042731699
cost_time_only,1.0,1,8,0.09051980008435809,0.09115952105970254,0.09051980008435809,0.09115952105970254,10.875,12.0,0.3753227900922788,0.33305006764509876,105.875,103.0,6.5,7.0,9.024999999999999,9.0,0.5827113677699087,0.5681101586363189,50.25625,51.025,10.274999999999999,9.8,10.875,12.0,0.9876311584546787,-0.030413625304136254,-0.012783771236759944
cost_time_only,1.0,2,8,0.17005086731223912,0.18483259928259785,0.17005086731223912,0.18483259928259785,13.375,13.0,0.5279580665558344,0.5122466786267237,129.375,124.0,8.0,8.5,7.112499999999999,7.049999999999997,0.7493315615256477,0.774623803009576,70.30625,66.05,19.018749999999997,18.7,13.375,13.0,0.9595015809229324,0.005763688760806916,-0.02952314010723156
fail_only,0.25,1,8,0.09497025326359396,0.09434604462474645,0.09497025326359396,0.09434604462474645,8.5,7.5,0.36905200751102935,0.3464367531968471,97.625,93.0,5.875,7.0,8.318749999999998,9.0,0.5426452611063706,0.5468347442031652,45.1375,43.475,10.8125,10.399999999999999,8.5,7.5,1.0361885594317115,0.049878345498783457,-0.019054553818009412
fail_only,0.25,2,8,0.17935304418356884,0.18772048681541587,0.17935304418356884,0.18772048681541587,11.375,10.5,0.5219143324680797,0.5063420867385545,123.5,119.5,7.5,8.0,7.387499999999999,7.5,0.7235991693177046,0.7461062513334755,67.76875,62.87499999999999,20.2125,19.25,11.375,10.5,1.011988542942815,0.05091258405379443,-0.035566874194986275
fail_only,0.5,1,8,0.09639740018824877,0.09668203237359792,0.09639740018824877,0.09668203237359792,7.375,6.0,0.35801991289902596,0.3453669143159695,96.75,93.0,5.875,7.0,7.993749999999999,8.0,0.5393365786093134,0.5452091767881242,45.731249999999996,45.05,10.94375,10.925,7.375,6.0,1.0517596805474048,0.058394160583941604,-0.030086648430012797
fail_only,0.5,2,8,0.17936438118977727,0.18772048681541587,0.17936438118977727,0.18772048681541587,8.875,7.0,0.4991094358985086,0.49353525084269323,120.875,118.0,7.625,8.0,6.8249999999999975,7.0,0.7113023286639419,0.7461062513334755,68.05,64.44999999999999,20.2125,19.25,8.875,7.0,1.0120525113044698,0.07108549471661864,-0.05837177076455741
