method,B,n,recall,recall_median,scheduler_recall,scheduler_recall_median,backend_fail,backend_fail_median,cost,cost_median,unnecessary,unnecessary_median,recover_fail,recover_fail_median,served_ratio,served_ratio_median,served_attack_mass,served_attack_mass_median,backend_success_attack_mass,backend_success_attack_mass_median,clean_service,clean_service_median,served_clean_count,served_clean_count_median,delay_p50,delay_p50_median,delay_p95,delay_p95_median,average_service_time,average_service_time_median,average_service_cost,average_service_cost_median
TRBG-source,1,8,0.6841868531406619,0.7036913817416715,0.6841868531406617,0.7036913817416708,3.875,4.0,8.746839316613658,8.82738054499357,22.625,22.5,0.0,0.0,0.5970087232178465,0.5862545669991113,81.14375,75.39999999999999,80.2875,74.89999999999999,22.625,22.5,22.625,22.5,1.0,0.5,7.756249999999998,8.0,7.995495602492493,7.76676447290269,34.121009920869696,33.57507195953488
TRBG-source,2,8,0.9446899058802258,0.9482356295901551,0.9446899058802259,0.9482356295901553,8.25,7.5,12.710137953778817,12.925959142049283,38.875,39.0,0.0,0.0,0.861892709565972,0.8627781161549211,111.975,106.875,110.40625,105.52499999999999,38.875,39.0,38.875,39.0,0.0,0.0,1.1812499999999986,1.0,8.030288102159563,7.907263884791789,33.72655814713753,34.297580961903634
TRFG-source,1,8,0.7104028323347442,0.7249624195251931,0.7104028323347447,0.7249624195251934,5.25,5.0,9.160492222597457,8.878229431606236,6.5,6.0,0.0,0.0,0.6039561309054131,0.6385493850737147,84.10624999999999,80.32499999999999,83.31875,79.25,6.5,6.0,6.5,6.0,1.125,0.0,8.375,8.5,8.010871283380443,7.739834012151734,35.04701435303129,35.60248438050434
TRFG-source,2,8,0.9695883572061865,0.9723492359558021,0.9695883572061869,0.9723492359558029,7.625,8.5,11.942015464939196,11.900977722676249,7.375,6.5,0.0,0.0,0.796531710449879,0.8037083908574935,114.775,111.14999999999999,113.09375,109.5,7.375,6.5,7.375,6.5,0.0,0.0,0.875,1.0,8.44220397346567,8.367295902309767,34.189394641678824,34.268081190403436
best_static_threshold,1,8,0.6489834453231245,0.6669326948656558,0.6489834453231242,0.6669326948656559,1.0,1.0,6.391060521146282,6.379961023838643,0.0,0.0,0.0,0.0,0.44554803548863275,0.43244118281890787,76.21875,72.27499999999999,75.80000000000001,71.57499999999999,0.0,0.0,0.0,0.0,7.25,8.5,10.0,10.0,9.86774478570899,9.550759912605713,33.285697961154185,33.17364702580648
best_static_threshold,2,8,0.8418430530321575,0.849735135943859,0.8418430530321575,0.8497351359438587,1.125,1.0,7.842772640812772,7.894784820254687,0.0,0.0,0.0,0.0,0.549251451739704,0.5212797472104276,99.55624999999999,93.42499999999998,99.04374999999999,92.85,0.0,0.0,0.0,0.0,0.0,0.0,0.96875,0.875,10.203822016701952,9.727804677505215,32.95785678264217,33.08355726446791
incumbent_queue_aware,1,8,0.6067100305842386,0.6165197888134651,0.6067100305842383,0.616519788813465,2.125,2.0,5.894381758378317,5.94033755696862,2.75,2.5,0.0,0.0,0.4150487830896275,0.40777241440958256,71.80625,68.19999999999999,71.32499999999999,68.19999999999999,2.75,2.5,2.75,2.5,1.25,1.0,4.63125,4.524999999999999,9.781389531293183,9.912679422992406,32.61958474388281,32.4707161082743
incumbent_queue_aware,2,8,0.8676333180198357,0.8622031299535003,0.8676333180198357,0.8622031299535001,2.25,2.0,8.11608147471877,8.145273349130093,2.75,2.5,0.0,0.0,0.5697690570415693,0.5516752894801675,102.61875,97.725,102.04374999999999,96.52499999999999,2.75,2.5,2.75,2.5,0.0,0.0,0.9124999999999996,1.0,10.518592504629355,10.702950994855243,32.582397837016615,32.99453605884507
original_proposed_safeguarded,1,8,0.7136882894324796,0.7265193249100479,0.7136882894324801,0.7265193249100482,5.375,5.5,9.373113999008279,8.94792255024377,6.125,6.0,0.0,0.0,0.6149793551372451,0.6369770580296896,84.53125,80.07499999999999,83.6125,79.0,6.125,6.0,6.125,6.0,1.1875,0.25,8.1375,8.0,7.852612225506841,7.684336325609555,35.057898260454685,35.07761887242955
original_proposed_safeguarded,2,8,0.970966590742085,0.9735463628512531,0.9709665907420855,0.973546362851254,8.125,8.5,12.120658306654029,12.068415847706028,9.125,8.0,0.0,0.0,0.8081447215528077,0.8129331046312178,114.94375,111.44999999999999,113.2625,109.725,9.125,8.0,9.125,8.0,0.0,0.0,0.78125,0.625,8.344624128231278,8.311069432749953,34.14547248482834,34.22638792452395
