method,calibration_mode,holdout_id,B,alpha,fail_cap_quantile,recall,scheduler_recall,backend_fail,cost,unnecessary,served_ratio,served_attack_mass,backend_success_attack_mass,clean_service,served_clean_count,served_attack_count,recover_fail,recover_fail_attack,recover_fail_clean,delay_p50,delay_p95,average_service_time,average_service_cost,total_service_cost,actual_backend_fail_used_in_decision,actual_recover_fail_used_in_decision,fresh_bank,validation_scope
native_safeguarded_retune,,gate9_sparse_front_0,1,,,0.0,0.0,2,0.01295921620056409,1,0.020833333333333332,0.12,0.0,1,1,1,1,1,0,9.5,9.95,6.661903381347656,1.5551059440676909,3.1102118881353817,False,False,gate9_sparse_front_0,gate9_reduced_fresh_confirm
native_unconstrained_retune,,gate9_sparse_front_0,1,,,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,False,gate9_sparse_front_0,gate9_reduced_fresh_confirm
source_frozen_transfer,,gate9_sparse_front_0,1,,,0.0,0.0,95,0.5589802711147589,69,0.9895833333333334,7.92,0.0,69,69,26,3,1,2,0.0,0.0,5.347310073752152,1.412160684921496,134.15526506754213,False,False,gate9_sparse_front_0,gate9_reduced_fresh_confirm
topk_expected_consequence,,gate9_sparse_front_0,1,,,0.0,0.0,88,0.48695579547034334,63,0.9166666666666666,7.48,0.0,63,63,25,3,1,2,0.0,7.0,5.3434749868783085,1.3280612603736637,116.86939091288241,False,False,gate9_sparse_front_0,gate9_reduced_fresh_confirm
winner_replay,,gate9_sparse_front_0,1,,,0.0,0.0,26,0.11765552108929948,14,0.2708333333333333,1.76,0.0,14,14,12,2,1,1,0.0,5.75,5.623411673765916,1.086050963901226,28.237325061431875,False,False,gate9_sparse_front_0,gate9_reduced_fresh_confirm
TRBG-source,source,gate9_sparse_front_0,1,1.0,1.0,0.0,0.0,63,0.367281136334096,40,0.65625,7.24,0.0,40,40,23,3,1,2,0.0,5.899999999999999,5.502214204697382,1.399166233653699,88.14747272018303,False,False,gate9_sparse_front_0,gate9_reduced_fresh_confirm
TRFG-source,TRFG-source,gate9_sparse_front_0,1,0.25,,0.0,0.0,70,0.4107480952648037,46,0.7291666666666666,7.04,0.0,46,46,24,3,1,2,0.0,7.099999999999994,5.4741494757788525,1.4082791837650412,98.57954286355289,False,False,gate9_sparse_front_0,gate9_reduced_fresh_confirm
TRFG-native-fail,TRFG-native-fail,gate9_sparse_front_0,1,2.0,,0.0,0.0,78,0.4483984334322448,54,0.8125,7.68,0.0,54,54,24,2,1,1,0.0,0.29999999999998295,5.316468978539492,1.37968748748383,107.61562402373875,False,False,gate9_sparse_front_0,gate9_reduced_fresh_confirm
native_safeguarded_retune,,gate9_sparse_front_0,2,,,0.0,0.0,2,0.01295921620056409,1,0.020833333333333332,0.12,0.0,1,1,1,1,1,0,9.5,9.95,6.661903381347656,1.5551059440676909,3.1102118881353817,False,False,gate9_sparse_front_0,gate9_reduced_fresh_confirm
native_unconstrained_retune,,gate9_sparse_front_0,2,,,0.0,0.0,8,0.053446669184609163,1,0.08333333333333333,0.84,0.0,1,1,7,1,1,0,0.0,10.0,4.924108326435089,1.603400075538275,12.8272006043062,False,False,gate9_sparse_front_0,gate9_reduced_fresh_confirm
source_frozen_transfer,,gate9_sparse_front_0,2,,,0.0,0.0,96,0.5633534508658651,70,1.0,7.92,0.0,70,70,26,3,1,2,0.0,0.0,5.328576912482579,1.4083836271646628,135.20482820780762,False,False,gate9_sparse_front_0,gate9_reduced_fresh_confirm
topk_expected_consequence,,gate9_sparse_front_0,2,,,0.0,0.0,96,0.5633534508658651,70,1.0,7.92,0.0,70,70,26,3,1,2,0.0,0.0,5.328576912482579,1.4083836271646628,135.20482820780762,False,False,gate9_sparse_front_0,gate9_reduced_fresh_confirm
winner_replay,,gate9_sparse_front_0,2,,,0.0,0.0,54,0.2767435161779455,29,0.5625,7.48,0.0,29,29,25,2,1,1,0.0,7.0,5.431780846030624,1.2299711830130913,66.41844388270692,False,False,gate9_sparse_front_0,gate9_reduced_fresh_confirm
TRBG-source,source,gate9_sparse_front_0,2,1.0,1.0,0.0,0.0,86,0.4999945050059372,62,0.8958333333333334,7.68,0.0,62,62,24,3,1,2,0.0,0.0,5.405861840691677,1.3953335023421503,119.99868120142492,False,False,gate9_sparse_front_0,gate9_reduced_fresh_confirm
TRFG-source,TRFG-source,gate9_sparse_front_0,2,0.25,,0.0,0.0,94,0.5471460821549196,68,0.9791666666666666,7.92,0.0,68,68,26,3,1,2,0.0,0.0,5.364385133093976,1.3969687203955394,131.3150597171807,False,False,gate9_sparse_front_0,gate9_reduced_fresh_confirm
TRFG-native-fail,TRFG-native-fail,gate9_sparse_front_0,2,2.0,,0.0,0.0,78,0.4483984334322448,54,0.8125,7.68,0.0,54,54,24,2,1,1,0.0,0.0,5.316468978539492,1.37968748748383,107.61562402373875,False,False,gate9_sparse_front_0,gate9_reduced_fresh_confirm
native_safeguarded_retune,,gate9_late_mixed_1,1,,,0.035,0.035,2,-0.015033167121237057,0,0.02564102564102564,1.56,0.8400000000000001,0,0,3,0,0,0,10.0,10.0,73.3887533346812,-1.2026533696989645,-3.6079601090968936,False,False,gate9_late_mixed_1,gate9_reduced_fresh_confirm
native_unconstrained_retune,,gate9_late_mixed_1,1,,,0.035,0.035,0,-0.009499395650512573,0,0.008547008547008548,0.8400000000000001,0.8400000000000001,0,0,1,0,0,0,0.0,0.0,210.10689878463745,-2.2798549561230175,-2.2798549561230175,False,False,gate9_late_mixed_1,gate9_reduced_fresh_confirm
source_frozen_transfer,,gate9_late_mixed_1,1,,,0.085,0.085,81,0.4369162914451029,62,0.7350427350427351,10.56,2.04,62,62,24,2,0,2,0.0,6.75,10.708609921987666,1.21930127845145,104.8599099468247,False,False,gate9_late_mixed_1,gate9_reduced_fresh_confirm
topk_expected_consequence,,gate9_late_mixed_1,1,,,0.035,0.035,71,0.36525772787947136,57,0.6324786324786325,6.6,0.8400000000000001,57,57,17,4,0,4,1.0,9.0,9.59852955470214,1.1846196579874748,87.66185469107313,False,False,gate9_late_mixed_1,gate9_reduced_fresh_confirm
