method,B,n,recall,recall_median,scheduler_recall,scheduler_recall_median,backend_fail,backend_fail_median,cost,cost_median,recover_fail,recover_fail_median,unnecessary,unnecessary_median,served_ratio,served_ratio_median,served_attack_mass,served_attack_mass_median,backend_success_attack_mass,backend_success_attack_mass_median,clean_service,clean_service_median,served_clean_count,served_clean_count_median,delay_p50,delay_p50_median,delay_p95,delay_p95_median,average_service_time,average_service_time_median,average_service_cost,average_service_cost_median
TRBG-source,1,4,0.13027652086475616,0.11098039215686276,0.13027652086475616,0.11098039215686277,39.25,36.5,0.22642165916264362,0.2375682663098767,1.75,2.0,18.5,17.0,0.5247219138828021,0.5247061965811965,10.195,9.0,2.4000000000000004,2.7,18.5,17.0,18.5,17.0,0.25,0.0,7.124999999999997,6.949999999999996,11.589213305428963,11.602792465625821,1.2628781544805134,1.4226814419767073
TRBG-source,2,4,0.21652568292274174,0.1652450980392157,0.21652568292274174,0.16524509803921575,67.5,76.5,0.36822920008576815,0.4548136286364752,3.0,3.0,45.25,56.5,0.8486379806891426,0.850090579710145,12.724999999999998,12.49,3.8899999999999997,4.02,45.25,56.5,45.25,56.5,0.0,0.0,3.6125000000000007,3.7250000000000014,12.736525921115351,13.90396999820747,1.093698568125413,1.2844491805472593
TRFG-native-fail,1,4,0.13027652086475616,0.11098039215686276,0.13027652086475616,0.11098039215686277,59.25,64.5,0.3559709317910029,0.4477818509860716,2.25,2.5,38.75,47.0,0.7286266722408027,0.717670011148272,10.415,9.67,2.4000000000000004,2.7,38.75,47.0,38.75,47.0,0.0,0.0,5.537499999999994,6.424999999999997,9.657985004806049,10.69427041961001,1.2615761554418243,1.3286512702274842
TRFG-native-fail,2,4,0.22571685939332997,0.18362745098039218,0.22571685939332997,0.18362745098039224,62.75,69.0,0.35468396726586393,0.44348841371418835,2.25,2.5,40.75,50.0,0.8012794484168172,0.8084239130434783,13.094999999999999,13.23,4.114999999999999,4.47,40.75,50.0,40.75,50.0,0.0,0.0,1.7250000000000014,1.5,13.339759567075296,14.40135885272803,1.1481813946979063,1.2811853985681603
TRFG-source,1,4,0.13770299145299147,0.12583333333333335,0.13770299145299147,0.12583333333333338,45.0,42.5,0.26546398362045903,0.29280045324267784,1.75,2.0,23.0,23.0,0.5938294874998398,0.6124465811965811,10.865,10.08,2.58,3.06,23.0,23.0,23.0,23.0,0.25,0.0,7.487499999999998,7.1249999999999964,11.441169223651396,11.351436302351313,1.287179522895871,1.373850838466871
TRFG-source,2,4,0.22395215351097703,0.18009803921568626,0.22395215351097705,0.18009803921568635,73.25,83.0,0.4068742018065388,0.5095876756507058,3.0,3.0,49.25,61.5,0.9193742471712861,0.9175412293853074,13.53,13.559999999999999,4.07,4.38,49.25,61.5,49.25,61.5,0.0,0.0,1.5,1.5,12.359064499826676,13.472211894422475,1.1067886220044953,1.3131569546696815
native_safeguarded_retune,1,4,0.07821539299480476,0.05671568627450981,0.07821539299480476,0.05671568627450982,2.25,2.0,0.011578684474719126,0.016994988449677825,0.25,0.0,0.25,0.0,0.058907445315803636,0.05305039787798409,2.29,2.37,1.39,1.38,0.25,0.0,0.25,0.0,6.875,8.75,9.9875,10.0,37.8049520225752,35.58457568713597,0.5749787987270338,0.9737313102697044
native_safeguarded_retune,2,4,0.10405941008882186,0.0742156862745098,0.10405941008882186,0.07421568627450982,2.75,3.0,0.009990377674708385,0.01814172412484254,0.25,0.0,0.25,0.0,0.07148929541639437,0.06734453286177425,3.1750000000000003,3.66,1.8399999999999999,1.8,0.25,0.0,0.25,0.0,6.5,6.25,9.9875,10.0,35.308725533386074,33.868063206473984,0.5351027184002002,0.903327432641466
native_unconstrained_retune,1,4,0.016584757834757838,0.01566951566951567,0.016584757834757834,0.015669515669515667,0.0,0.0,-0.0054284416294990475,-0.004749697825256287,0.0,0.0,0.0,0.0,0.0050103153551429415,0.004273504273504274,0.32,0.22,0.32,0.22,0.0,0.0,0.0,0.0,2.5,0.0,2.5,0.0,89.67220586538315,74.29096233844757,-1.3028259910797715,-1.1399274780615087
native_unconstrained_retune,2,4,0.16439647226411933,0.12936274509803922,0.1643964722641193,0.12936274509803924,8.75,8.5,0.03747245231987411,0.05212545541017827,0.5,0.5,0.25,0.0,0.1769203539256013,0.15660919540229884,6.51,7.319999999999999,2.9749999999999996,3.1499999999999995,0.25,0.0,0.25,0.0,0.75,0.25,9.487499999999999,9.474999999999998,35.92453910509745,31.189019175370532,0.616251701434218,0.9432318059313805
