comparison,left,right,slot_budget,metric,mean_delta_left_minus_right,median_delta_left_minus_right,min_delta,max_delta,bootstrap95_ci_low,bootstrap95_ci_high,exact_sign_test_p_two_sided,sign_flip_permutation_p_two_sided,n_holdouts,left_wins,left_losses,ties
source_frozen_vs_winner_replay,source_frozen::phase3_oracle_upgrade,winner_replay::phase3_oracle_upgrade,1,recall,0.028760327966395834,0.022761613067891782,0.008202323991797676,0.07102728731942212,0.017478445165842647,0.04307561571530687,0.0078125,0.0078125,8,8,0,0
source_frozen_vs_winner_replay,source_frozen::phase3_oracle_upgrade,winner_replay::phase3_oracle_upgrade,1,unnecessary,5.625,4.5,1.0,13.0,3.0,8.5,0.0078125,0.0078125,8,0,8,0
source_frozen_vs_winner_replay,source_frozen::phase3_oracle_upgrade,winner_replay::phase3_oracle_upgrade,1,cost,0.10728623542791789,0.09947856332776028,0.06569656852651423,0.16280762396770235,0.08550915604051958,0.13114321792449576,0.0078125,0.0078125,8,0,8,0
source_frozen_vs_winner_replay,source_frozen::phase3_oracle_upgrade,winner_replay::phase3_oracle_upgrade,1,served_ratio,0.10835599241955308,0.09853979576420119,0.0022588929112766776,0.24621241229278712,0.05910305125560249,0.16160850663832357,0.0078125,0.0078125,8,8,0,0
source_frozen_vs_winner_replay,source_frozen::phase3_oracle_upgrade,winner_replay::phase3_oracle_upgrade,1,delay_p95,-0.7749999999999986,-1.0,-2.9000000000000057,1.0,-1.737499999999999,0.20000000000000107,0.7265625,0.21875,8,5,3,0
source_frozen_vs_winner_replay,source_frozen::phase3_oracle_upgrade,winner_replay::phase3_oracle_upgrade,1,backend_fail,24.875,21.0,12.0,51.0,18.0,33.625,0.0078125,0.0078125,8,0,8,0
source_frozen_vs_anchored_retune,source_frozen::phase3_oracle_upgrade,anchored_retune::phase3_oracle_upgrade,1,recall,0.07418531057341178,0.07884665314401623,0.03827751196172249,0.11998394863563401,0.05584041392002915,0.09315929260649691,0.0078125,0.0078125,8,8,0,0
source_frozen_vs_anchored_retune,source_frozen::phase3_oracle_upgrade,anchored_retune::phase3_oracle_upgrade,1,unnecessary,13.375,15.5,2.0,21.0,9.0,17.375,0.0078125,0.0078125,8,0,8,0
source_frozen_vs_anchored_retune,source_frozen::phase3_oracle_upgrade,anchored_retune::phase3_oracle_upgrade,1,cost,0.3448252179670772,0.3278880709133255,0.24463959470433566,0.49850586256511636,0.28694910222499187,0.407655088134784,0.0078125,0.0078125,8,0,8,0
source_frozen_vs_anchored_retune,source_frozen::phase3_oracle_upgrade,anchored_retune::phase3_oracle_upgrade,1,served_ratio,0.48639089754497256,0.4722509058764538,0.35987394239268045,0.6198460195101361,0.43075488293655473,0.5443668662070271,0.0078125,0.0078125,8,8,0,0
source_frozen_vs_anchored_retune,source_frozen::phase3_oracle_upgrade,anchored_retune::phase3_oracle_upgrade,1,delay_p95,-1.7500000000000024,-1.9500000000000055,-4.1000000000000085,0.0,-2.537500000000003,-1.0,0.015625,0.015625,8,7,0,1
source_frozen_vs_anchored_retune,source_frozen::phase3_oracle_upgrade,anchored_retune::phase3_oracle_upgrade,1,backend_fail,92.375,87.0,69.0,127.0,79.5,106.625,0.0078125,0.0078125,8,0,8,0
source_frozen_vs_native_safeguarded_retune,source_frozen::phase3_oracle_upgrade,native_safeguarded_retune::phase3_oracle_upgrade,1,recall,0.07614038775550427,0.07682102782497591,0.03827751196172249,0.12118780096308185,0.05607603570781259,0.09709569436876156,0.0078125,0.0078125,8,8,0,0
source_frozen_vs_native_safeguarded_retune,source_frozen::phase3_oracle_upgrade,native_safeguarded_retune::phase3_oracle_upgrade,1,unnecessary,13.5,15.5,2.0,21.0,9.0,17.5,0.0078125,0.0078125,8,0,8,0
source_frozen_vs_native_safeguarded_retune,source_frozen::phase3_oracle_upgrade,native_safeguarded_retune::phase3_oracle_upgrade,1,cost,0.35102508584963155,0.32935314951065703,0.23254629380840774,0.49850586256511636,0.2886445165372784,0.4164214879661209,0.0078125,0.0078125,8,0,8,0
source_frozen_vs_native_safeguarded_retune,source_frozen::phase3_oracle_upgrade,native_safeguarded_retune::phase3_oracle_upgrade,1,served_ratio,0.5038669205817832,0.49481970796538116,0.3651263790566998,0.6697480510993548,0.4453105837385464,0.5668103968364896,0.0078125,0.0078125,8,8,0,0
source_frozen_vs_native_safeguarded_retune,source_frozen::phase3_oracle_upgrade,native_safeguarded_retune::phase3_oracle_upgrade,1,delay_p95,-1.8750000000000024,-1.9500000000000055,-5.1000000000000085,0.0,-2.912500000000003,-1.0,0.015625,0.015625,8,7,0,1
source_frozen_vs_native_safeguarded_retune,source_frozen::phase3_oracle_upgrade,native_safeguarded_retune::phase3_oracle_upgrade,1,backend_fail,95.375,87.5,73.0,137.0,81.875,111.25,0.0078125,0.0078125,8,0,8,0
source_frozen_vs_native_unconstrained_retune,source_frozen::phase3_oracle_upgrade,native_unconstrained_retune::phase3_oracle_upgrade,1,recall,0.09165344704797701,0.0968815415821501,0.0525224602626123,0.14446227929373995,0.07181523646946175,0.11259275790531208,0.0078125,0.0078125,8,8,0,0
source_frozen_vs_native_unconstrained_retune,source_frozen::phase3_oracle_upgrade,native_unconstrained_retune::phase3_oracle_upgrade,1,unnecessary,13.5,15.5,2.0,21.0,9.0,17.5,0.0078125,0.0078125,8,0,8,0
source_frozen_vs_native_unconstrained_retune,source_frozen::phase3_oracle_upgrade,native_unconstrained_retune::phase3_oracle_upgrade,1,cost,0.3877040446318775,0.3765159295374002,0.2795578891297669,0.54834455483675,0.32673048036488417,0.45312539126587914,0.0078125,0.0078125,8,0,8,0
source_frozen_vs_native_unconstrained_retune,source_frozen::phase3_oracle_upgrade,native_unconstrained_retune::phase3_oracle_upgrade,1,served_ratio,0.5557770069818964,0.5459327926277149,0.40544180185839834,0.6908347292898888,0.49656987810009373,0.6142794142155541,0.0078125,0.0078125,8,8,0,0
source_frozen_vs_native_unconstrained_retune,source_frozen::phase3_oracle_upgrade,native_unconstrained_retune::phase3_oracle_upgrade,1,delay_p95,5.4499999999999975,8.0,-5.1000000000000085,10.0,1.4624999999999932,8.75,0.2890625,0.0390625,8,2,6,0
source_frozen_vs_native_unconstrained_retune,source_frozen::phase3_oracle_upgrade,native_unconstrained_retune::phase3_oracle_upgrade,1,backend_fail,102.125,96.0,76.0,139.0,89.25,116.625,0.0078125,0.0078125,8,0,8,0
oracle_vs_phase3_proposed,source_frozen::phase3_oracle_upgrade,source_frozen::phase3_proposed,1,recall,-0.0010599669427684717,0.005549597817938033,-0.04101161995898835,0.016853932584269593,-0.013938391450119655,0.008658435532611974,0.453125,0.921875,8,5,2,1
